Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95
0.00000,749.174,0.000000,4.249,0.00000,603.446,0.00000,7.545,0.00000,2.803,0.00000,436.673,0.00000,1.606,0.00000,0.000,0.00000,201.036,0.00000,146.571,0.00000,194.667,0.00000,154.514,0.00000,0.746,0.00000,153.654,0.00000,142.498,0.000000,238.211,0.00000,267.839,0.00000,14.862,0.00000,50.895,0.00000,137.108,0.00000,267.661,0.00000,171.386,0.00000,0.000,0.00000,333.103,0.00000,305.167,0.00000,187.450,0.00000,433.478,0.00000,16.670,0.00000,136.489,0.00000,162.021,0.00000,430.072,0.00000,293.998,0.00000,322.327,0.00000,94.236,0.00000,594.124,0.00000,126.045,0.000000,4.877,0.000000,165.400,0.00000,649.709,0.00000,1.285,0.00000,367.267,0.00000,293.565,0.00000,142.944,0.00000,98.637,0.00000,176.613,0.00000,0.000,0.000000,346.051,0.00000,47.499,0.00000,102.865,0.000000,150.823,0.00000,60.055,0.00000,299.881,0.00000,388.488,0.00000,62.549,0.00000,311.418,0.00000,24.145,0.00000,221.312,0.00000,0.017,0.00000,485.133,0.000000,77.083,0.00000,67.592,0.00000,47.870,0.00000,143.115,0.00000,29.652,0.00000,236.097,0.00000,263.671,0.00000,231.833,0.00000,298.559,0.00000,0.239,0.00000,448.885,0.00000,106.822,0.00000,443.204,0.00000,411.222,0.000000,16.985,0.00000,397.200,0.00000,97.389,0.00000,434.771,0.00000,173.223,0.00000,57.247,0.00000,57.866,0.000000,25.583,0.00000,42.672,0.00000,79.240,0.00000,87.835,0.00000,155.171,0.00000,105.228,0.00000,133.909,0.00000,17.072,0.00000,33.096,0.000000,140.190,0.00000,134.403,0.000000,21.305,0.00000,3.680,0.000000,149.357,0.00000,169.495,0.00000,70.949
0.03224,241.488,0.032242,69.273,0.03224,733.731,0.03224,8.702,0.03224,0.000,0.03224,584.527,0.03224,8.007,0.03224,0.601,0.03224,155.083,0.03224,165.309,0.03224,139.498,0.03224,184.330,0.03224,14.743,0.03224,102.233,0.03224,209.303,0.032242,239.101,0.03224,412.454,0.03224,17.175,0.03224,38.546,0.03224,218.888,0.03224,365.178,0.03224,252.348,0.03224,1.786,0.03224,213.612,0.03224,277.184,0.03224,187.638,0.03224,419.743,0.03224,60.542,0.03224,180.268,0.03224,165.318,0.03224,223.930,0.03224,279.596,0.03224,435.346,0.03224,102.892,0.03224,636.793,0.03224,156.801,0.032242,76.128,0.032242,88.400,0.03224,708.720,0.03224,25.193,0.03224,396.934,0.03224,302.951,0.03224,73.701,0.03224,90.701,0.03224,71.248,0.03224,0.000,0.032242,476.539,0.03224,5.496,0.03224,71.747,0.032242,231.505,0.03224,56.501,0.03224,295.380,0.03224,451.308,0.03224,43.621,0.03224,243.341,0.03224,18.998,0.03224,215.366,0.03224,6.550,0.03224,556.867,0.032242,97.459,0.03224,97.077,0.03224,29.070,0.03224,134.011,0.03224,12.336,0.03224,147.309,0.03224,297.188,0.03224,133.200,0.03224,343.236,0.03224,15.677,0.03224,90.154,0.03224,116.511,0.03224,404.049,0.03224,288.648,0.032242,20.388,0.03224,394.800,0.03224,88.043,0.03224,486.601,0.03224,140.890,0.03224,65.663,0.03224,103.305,0.032242,19.933,0.03224,7.760,0.03224,95.790,0.03224,63.011,0.03224,212.748,0.03224,93.481,0.03224,181.874,0.03224,18.802,0.03224,69.552,0.032242,103.204,0.03224,182.079,0.032242,22.688,0.03224,1.148,0.032242,246.865,0.03224,159.301,0.03224,62.586
0.06448,86.739,0.064484,211.233,0.06448,814.156,0.06448,10.378,0.06448,0.000,0.06448,689.418,0.06448,79.971,0.06448,24.329,0.06448,123.562,0.06448,132.603,0.06448,48.607,0.06448,195.679,0.06448,41.349,0.06448,80.881,0.06448,247.141,0.064484,232.562,0.06448,442.428,0.06448,53.734,0.06448,33.562,0.06448,266.366,0.06448,410.719,0.06448,347.880,0.06448,22.024,0.06448,133.751,0.06448,262.020,0.06448,152.000,0.06448,388.017,0.06448,99.533,0.06448,214.528,0.06448,141.678,0.06448,124.460,0.06448,237.057,0.06448,603.498,0.06448,85.716,0.06448,628.549,0.06448,180.694,0.064484,192.377,0.064484,55.767,0.06448,692.604,0.06448,122.280,0.06448,506.056,0.06448,280.320,0.06448,116.697,0.06448,97.489,0.06448,10.555,0.06448,16.814,0.064484,584.488,0.06448,4.401,0.06448,78.836,0.064484,271.971,0.06448,39.783,0.06448,287.693,0.06448,504.718,0.06448,25.927,0.06448,196.118,0.06448,87.856,0.06448,179.461,0.06448,18.112,0.06448,538.133,0.064484,90.595,0.06448,94.013,0.06448,19.508,0.06448,156.922,0.06448,0.564,0.06448,40.009,0.06448,370.105,0.06448,123.733,0.06448,375.637,0.06448,73.973,0.06448,31.450,0.06448,113.519,0.06448,384.697,0.06448,151.010,0.064484,17.498,0.06448,309.267,0.06448,138.636,0.06448,500.262,0.06448,79.059,0.06448,94.036,0.06448,120.942,0.064484,34.333,0.06448,0.102,0.06448,145.131,0.06448,64.643,0.06448,206.614,0.06448,87.061,0.06448,181.301,0.06448,9.060,0.06448,110.052,0.064484,91.134,0.06448,212.420,0.064484,21.670,0.06448,2.808,0.064484,290.971,0.06448,150.165,0.06448,63.969
0.09673,89.495,0.096726,332.661,0.09673,868.245,0.09673,61.161,0.09673,0.000,0.09673,748.489,0.09673,169.733,0.09673,110.764,0.09673,113.709,0.09673,79.180,0.09673,3.679,0.09673,212.981,0.09673,53.501,0.09673,53.226,0.09673,232.225,0.096726,217.033,0.09673,365.451,0.09673,130.569,0.09673,19.025,0.09673,233.900,0.09673,412.590,0.09673,401.923,0.09673,91.368,0.09673,101.358,0.09673,284.296,0.09673,166.122,0.09673,363.346,0.09673,154.729,0.09673,273.779,0.09673,111.643,0.09673,88.960,0.09673,167.851,0.09673,767.442,0.09673,63.520,0.09673,533.445,0.09673,204.202,0.096726,289.003,0.096726,78.400,0.09673,580.321,0.09673,291.373,0.09673,685.052,0.09673,247.595,0.09673,391.264,0.09673,117.737,0.09673,3.784,0.09673,122.017,0.096726,598.528,0.09673,53.397,0.09673,64.373,0.096726,235.854,0.09673,26.897,0.09673,304.561,0.09673,490.213,0.09673,27.205,0.09673,192.546,0.09673,188.528,0.09673,138.786,0.09673,30.539,0.09673,422.767,0.096726,59.693,0.09673,88.904,0.09673,5.805,0.09673,175.481,0.09673,0.000,0.09673,12.368,0.09673,437.293,0.09673,174.133,0.09673,373.584,0.09673,125.379,0.09673,40.699,0.09673,105.390,0.09673,360.765,0.09673,45.671,0.096726,4.901,0.09673,143.400,0.09673,194.134,0.09673,478.165,0.09673,36.736,0.09673,121.621,0.09673,66.067,0.096726,62.500,0.09673,8.948,0.09673,182.443,0.09673,109.253,0.09673,140.466,0.09673,87.235,0.09673,127.349,0.09673,96.815,0.09673,127.916,0.096726,94.012,0.09673,197.906,0.096726,12.458,0.09673,24.758,0.096726,251.706,0.09673,144.568,0.09673,116.982
0.12897,78.001,0.128968,400.239,0.12897,918.598,0.12897,218.387,0.12897,1.607,0.12897,777.245,0.12897,243.693,0.12897,180.688,0.12897,119.594,0.12897,69.146,0.12897,0.000,0.12897,244.161,0.12897,118.883,0.12897,25.893,0.12897,189.583,0.128968,183.866,0.12897,248.042,0.12897,189.230,0.12897,5.515,0.12897,148.228,0.12897,398.787,0.12897,383.805,0.12897,216.903,0.12897,111.245,0.12897,338.768,0.12897,254.509,0.12897,359.328,0.12897,255.638,0.12897,364.300,0.12897,60.180,0.12897,46.522,0.12897,93.022,0.12897,826.417,0.12897,109.704,0.12897,371.524,0.12897,214.763,0.128968,313.102,0.128968,90.033,0.12897,379.754,0.12897,477.807,0.12897,908.198,0.12897,210.019,0.12897,1061.887,0.12897,135.905,0.12897,20.586,0.12897,225.686,0.128968,505.631,0.12897,187.657,0.12897,54.722,0.128968,132.029,0.12897,10.374,0.12897,356.564,0.12897,413.754,0.12897,23.077,0.12897,186.864,0.12897,265.668,0.12897,106.647,0.12897,52.354,0.12897,268.500,0.128968,35.615,0.12897,139.758,0.12897,5.891,0.12897,138.222,0.12897,0.000,0.12897,75.934,0.12897,459.094,0.12897,242.667,0.12897,331.269,0.12897,136.840,0.12897,22.049,0.12897,114.016,0.12897,349.547,0.12897,5.475,0.128968,0.072,0.12897,13.300,0.12897,218.131,0.12897,421.582,0.12897,55.065,0.12897,143.045,0.12897,10.124,0.128968,34.750,0.12897,78.933,0.12897,207.533,0.12897,197.087,0.12897,46.509,0.12897,94.872,0.12897,76.932,0.12897,261.632,0.12897,143.422,0.128968,77.960,0.12897,154.619,0.128968,5.024,0.12897,54.849,0.128968,174.188,0.12897,149.176,0.12897,233.572
0.16121,45.685,0.161210,409.376,0.16121,950.032,0.16121,343.268,0.16121,21.031,0.16121,790.028,0.16121,290.726,0.16121,172.899,0.16121,117.219,0.16121,86.115,0.16121,0.000,0.16121,300.569,0.16121,283.144,0.16121,14.767,0.16121,165.512,0.161210,129.510,0.16121,190.177,0.16121,200.130,0.16121,0.000,0.16121,86.788,0.16121,348.261,0.16121,326.380,0.16121,361.332,0.16121,152.932,0.16121,399.085,0.16121,440.614,0.16121,392.260,0.16121,409.396,0.16121,469.536,0.16121,18.655,0.16121,12.592,0.16121,54.566,0.16121,767.901,0.16121,209.568,0.16121,226.297,0.16121,235.088,0.161210,266.438,0.161210,110.433,0.16121,162.260,0.16121,607.948,0.16121,1166.296,0.16121,185.286,0.16121,2057.990,0.16121,122.648,0.16121,68.825,0.16121,292.040,0.161210,355.367,0.16121,422.416,0.16121,124.934,0.161210,38.273,0.16121,0.315,0.16121,438.918,0.16121,312.608,0.16121,11.721,0.16121,144.216,0.16121,291.547,0.16121,86.468,0.16121,63.224,0.16121,197.000,0.161210,78.853,0.16121,192.412,0.16121,10.201,0.16121,68.690,0.16121,0.000,0.16121,249.441,0.16121,453.094,0.16121,280.667,0.16121,279.010,0.16121,105.483,0.16121,3.313,0.16121,178.776,0.16121,311.950,0.16121,20.428,0.161210,2.777,0.16121,0.000,0.16121,216.920,0.16121,353.421,0.16121,111.692,0.16121,153.083,0.16121,0.000,0.161210,9.650,0.16121,192.880,0.16121,229.430,0.16121,337.464,0.16121,15.457,0.16121,83.485,0.16121,68.607,0.16121,459.434,0.16121,160.837,0.161210,51.424,0.16121,112.400,0.161210,2.951,0.16121,86.297,0.161210,80.885,0.16121,170.557,0.16121,402.387
0.19345,8.778,0.193452,371.749,0.19345,920.576,0.19345,417.384,0.19345,102.716,0.19345,783.687,0.19345,316.141,0.19345,122.397,0.19345,113.699,0.19345,79.672,0.19345,0.000,0.19345,367.542,0.19345,458.832,0.19345,41.204,0.19345,216.211,0.193452,71.699,0.19345,228.240,0.19345,149.640,0.19345,0.770,0.19345,107.075,0.19345,284.250,0.19345,289.645,0.19345,455.769,0.19345,234.025,0.19345,401.945,0.19345,764.483,0.19345,433.562,0.19345,569.663,0.19345,552.613,0.19345,11.076,0.19345,0.625,0.19345,42.082,0.19345,594.596,0.19345,303.562,0.19345,104.746,0.19345,276.664,0.193452,228.842,0.193452,148.800,0.19345,24.286,0.19345,661.999,0.19345,1334.227,0.19345,150.233,0.19345,2981.173,0.19345,63.614,0.19345,150.862,0.19345,315.764,0.193452,241.922,0.19345,834.293,0.19345,367.172,0.193452,1.005,0.19345,0.000,0.19345,523.011,0.19345,246.900,0.19345,1.465,0.19345,97.446,0.19345,270.027,0.19345,84.543,0.19345,71.949,0.19345,215.800,0.193452,125.102,0.19345,242.103,0.19345,7.063,0.19345,23.527,0.19345,0.000,0.19345,571.737,0.19345,473.871,0.19345,275.400,0.19345,226.659,0.19345,57.180,0.19345,14.969,0.19345,368.574,0.19345,253.660,0.19345,36.896,0.193452,54.037,0.19345,0.000,0.19345,216.892,0.19345,308.010,0.19345,214.129,0.19345,111.559,0.19345,0.000,0.193452,5.233,0.19345,230.580,0.19345,229.883,0.19345,454.428,0.19345,17.748,0.19345,52.215,0.19345,107.844,0.19345,633.165,0.19345,180.024,0.193452,24.216,0.19345,56.803,0.193452,11.775,0.19345,129.199,0.193452,13.634,0.19345,193.148,0.19345,574.437
0.22569,1.558,0.225694,307.790,0.22569,790.805,0.22569,465.872,0.22569,192.764,0.22569,767.778,0.22569,345.277,0.22569,98.874,0.22569,101.403,0.22569,69.046,0.22569,0.000,0.22569,410.785,0.22569,605.012,0.22569,143.425,0.22569,301.464,0.225694,35.508,0.22569,316.069,0.22569,87.285,0.22569,27.143,0.22569,222.517,0.22569,222.431,0.22569,274.329,0.22569,467.030,0.22569,374.624,0.22569,326.705,0.22569,1221.160,0.22569,444.565,0.22569,675.673,0.22569,587.734,0.22569,11.710,0.22569,7.387,0.22569,13.277,0.22569,403.718,0.22569,351.114,0.22569,29.891,0.22569,342.293,0.225694,201.764,0.225694,197.200,0.22569,0.206,0.22569,644.120,0.22569,1364.360,0.22569,110.647,0.22569,3571.926,0.22569,11.407,0.22569,265.103,0.22569,316.414,0.225694,211.674,0.22569,1368.603,0.22569,976.348,0.225694,0.000,0.22569,0.000,0.22569,566.608,0.22569,215.349,0.22569,0.000,0.22569,131.637,0.22569,238.194,0.22569,120.798,0.22569,79.342,0.22569,270.300,0.225694,138.499,0.22569,265.138,0.22569,1.747,0.22569,2.802,0.22569,0.000,0.22569,1036.859,0.22569,571.929,0.22569,248.767,0.22569,159.517,0.22569,39.029,0.22569,31.530,0.22569,662.780,0.22569,220.030,0.22569,35.516,0.225694,241.857,0.22569,0.000,0.22569,215.767,0.22569,276.549,0.22569,330.316,0.22569,43.397,0.22569,0.000,0.225694,0.567,0.22569,195.183,0.22569,210.028,0.22569,502.201,0.22569,24.558,0.22569,26.922,0.22569,161.871,0.22569,747.238,0.22569,208.076,0.225694,15.452,0.22569,19.922,0.225694,53.090,0.22569,163.154,0.225694,9.722,0.22569,205.638,0.22569,691.105
0.25794,21.488,0.257937,240.389,0.25794,565.014,0.25794,534.561,0.25794,266.151,0.25794,764.177,0.25794,372.337,0.25794,140.512,0.25794,82.130,0.25794,95.237,0.25794,0.000,0.25794,422.628,0.25794,657.695,0.25794,242.633,0.25794,363.953,0.257937,36.795,0.25794,423.467,0.25794,52.707,0.25794,106.851,0.25794,372.233,0.25794,182.063,0.25794,296.277,0.25794,439.552,0.25794,601.033,0.25794,218.458,0.25794,1663.894,0.25794,402.119,0.25794,718.222,0.25794,574.744,0.25794,28.324,0.25794,165.332,0.25794,0.567,0.25794,252.228,0.25794,353.249,0.25794,39.175,0.25794,401.627,0.257937,193.546,0.257937,239.400,0.25794,41.427,0.25794,590.593,0.25794,1283.333,0.25794,80.347,0.25794,3688.983,0.25794,0.000,0.25794,368.464,0.25794,327.867,0.257937,212.044,0.25794,1922.340,0.25794,2091.126,0.257937,0.000,0.25794,0.000,0.25794,553.012,0.25794,190.520,0.25794,0.000,0.25794,223.922,0.25794,233.258,0.25794,159.190,0.25794,56.434,0.25794,306.633,0.257937,136.908,0.25794,250.852,0.25794,0.305,0.25794,0.000,0.25794,0.000,0.25794,1586.324,0.25794,757.228,0.25794,210.333,0.25794,99.710,0.25794,56.776,0.25794,32.747,0.25794,966.082,0.25794,299.033,0.25794,21.514,0.257937,605.133,0.25794,0.000,0.25794,226.746,0.25794,238.810,0.25794,402.227,0.25794,6.078,0.25794,0.000,0.257937,2.067,0.25794,148.756,0.25794,176.609,0.25794,460.637,0.25794,31.797,0.25794,29.887,0.25794,181.191,0.25794,738.974,0.25794,260.435,0.257937,21.957,0.25794,7.376,0.257937,174.589,0.25794,185.147,0.257937,28.062,0.25794,210.104,0.25794,727.145
0.29018,125.112,0.290179,177.447,0.29018,305.011,0.29018,629.131,0.29018,321.670,0.29018,800.086,0.29018,385.434,0.29018,205.368,0.29018,42.278,0.29018,144.680,0.29018,0.000,0.29018,426.158,0.29018,580.250,0.29018,383.242,0.29018,377.869,0.290179,24.751,0.29018,545.656,0.29018,30.347,0.29018,250.867,0.29018,464.978,0.29018,172.165,0.29018,417.318,0.29018,400.437,0.29018,1039.218,0.29018,142.405,0.29018,1933.667,0.29018,324.339,0.29018,673.966,0.29018,516.997,0.29018,38.222,0.29018,726.068,0.29018,0.000,0.29018,156.776,0.29018,309.489,0.29018,150.440,0.29018,401.594,0.290179,224.659,0.290179,235.000,0.29018,315.627,0.29018,543.150,0.29018,1162.608,0.29018,71.337,0.29018,3351.734,0.29018,0.000,0.29018,431.785,0.29018,356.049,0.290179,211.586,0.29018,2294.831,0.29018,3570.936,0.290179,116.483,0.29018,0.000,0.29018,480.231,0.29018,173.769,0.29018,48.381,0.29018,274.874,0.29018,249.372,0.29018,144.433,0.29018,12.539,0.29018,265.367,0.290179,155.816,0.29018,172.041,0.29018,8.674,0.29018,0.000,0.29018,0.000,0.29018,2134.063,0.29018,954.147,0.29018,160.333,0.29018,77.332,0.29018,99.187,0.29018,84.070,0.29018,1202.104,0.29018,552.892,0.29018,28.646,0.290179,1105.210,0.29018,0.000,0.29018,249.321,0.29018,185.761,0.29018,387.971,0.29018,0.234,0.29018,0.060,0.290179,18.000,0.29018,108.219,0.29018,141.189,0.29018,347.990,0.29018,44.326,0.29018,29.062,0.29018,147.186,0.29018,537.080,0.29018,300.920,0.290179,39.340,0.29018,21.757,0.290179,518.110,0.29018,184.941,0.290179,59.265,0.29018,220.291,0.29018,688.114
