Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95
0.00000,29.060,0.000000,2231.197,0.00000,3261.188,0.00000,7.561,0.00000,0.088,0.00000,2322.339,0.00000,1407.341,0.00000,992.299,0.00000,1372.422,0.00000,3116.114,0.00000,5464.950,0.00000,5684.382,0.00000,1708.827,0.00000,0.000,0.00000,531.227,0.000000,3145.695,0.00000,2437.942,0.00000,466.494,0.00000,495.449,0.00000,2434.518,0.00000,1434.521,0.00000,2437.551,0.00000,988.999,0.00000,211.543,0.00000,3015.034,0.00000,163.107,0.00000,327.638,0.00000,1649.430,0.00000,3189.449,0.00000,0.000,0.00000,4235.573,0.00000,3883.495,0.00000,3686.548,0.00000,191.373,0.00000,494.507,0.00000,138.162,0.000000,98.812,0.000000,2332.967,0.00000,3516.187,0.00000,1688.759,0.00000,224.508,0.00000,2647.001,0.00000,52.156,0.00000,1400.395,0.00000,282.171,0.00000,359.193,0.000000,5669.303,0.00000,114.162,0.00000,207.252,0.000000,2787.429,0.00000,2175.745,0.00000,2255.701,0.00000,2277.007,0.00000,430.523,0.00000,5525.475,0.00000,627.748,0.00000,2469.556,0.00000,2270.715,0.00000,291.033,0.000000,2026.629,0.00000,2384.664,0.00000,0.042,0.00000,773.014,0.00000,2439.013,0.00000,2326.673,0.00000,447.689,0.00000,4163.633,0.00000,32.455,0.00000,665.420,0.00000,680.050,0.00000,42.489,0.00000,517.391,0.00000,1264.490,0.000000,0.537,0.00000,5716.533,0.00000,2833.767,0.00000,4469.375,0.00000,1014.369,0.00000,3.046,0.00000,2039.546,0.000000,0.000,0.00000,914.926,0.00000,3748.050,0.00000,3303.447,0.00000,0.000,0.00000,883.302,0.00000,349.930,0.00000,2043.096,0.00000,1916.380,0.000000,1634.606,0.00000,391.674,0.000000,161.786,0.00000,655.101,0.000000,929.628,0.00000,0.000,0.00000,1378.439
0.03224,115.702,0.032242,2452.084,0.03224,3477.938,0.03224,9.036,0.03224,235.484,0.03224,3077.274,0.03224,2286.384,0.03224,1276.767,0.03224,1455.206,0.03224,3267.743,0.03224,5861.851,0.03224,7609.355,0.03224,2677.688,0.03224,0.000,0.03224,961.306,0.032242,4008.710,0.03224,2991.983,0.03224,371.119,0.03224,248.916,0.03224,2688.834,0.03224,2253.735,0.03224,2938.910,0.03224,1111.499,0.03224,246.278,0.03224,3449.072,0.03224,191.164,0.03224,294.098,0.03224,1861.283,0.03224,3649.362,0.03224,0.000,0.03224,4330.817,0.03224,4536.583,0.03224,4238.378,0.03224,541.128,0.03224,398.143,0.03224,163.257,0.032242,629.735,0.032242,2704.233,0.03224,3764.093,0.03224,2055.393,0.03224,222.144,0.03224,3102.205,0.03224,50.298,0.03224,1813.361,0.03224,177.981,0.03224,1213.681,0.032242,5856.271,0.03224,187.151,0.03224,189.243,0.032242,3261.451,0.03224,3087.244,0.03224,2177.429,0.03224,3024.931,0.03224,315.220,0.03224,6029.525,0.03224,1377.421,0.03224,2774.936,0.03224,3295.892,0.03224,268.800,0.032242,2435.659,0.03224,3117.781,0.03224,0.058,0.03224,1432.945,0.03224,2177.520,0.03224,3046.567,0.03224,407.101,0.03224,4414.100,0.03224,43.118,0.03224,1224.060,0.03224,1139.752,0.03224,49.523,0.03224,588.422,0.03224,1463.095,0.032242,5.161,0.03224,6247.067,0.03224,2374.031,0.03224,4767.472,0.03224,1313.571,0.03224,45.633,0.03224,2588.816,0.032242,0.000,0.03224,1911.234,0.03224,4763.924,0.03224,3459.895,0.03224,11.026,0.03224,1098.201,0.03224,218.228,0.03224,1995.261,0.03224,2262.971,0.032242,1813.396,0.03224,567.134,0.032242,73.178,0.03224,897.930,0.032242,1505.887,0.03224,40.938,0.03224,1381.400
0.06448,219.792,0.064484,2754.512,0.06448,3824.210,0.06448,5.845,0.06448,794.659,0.06448,3682.192,0.06448,3056.307,0.06448,1485.364,0.06448,1581.108,0.06448,3515.179,0.06448,5925.812,0.06448,8926.776,0.06448,3565.489,0.06448,1.571,0.06448,1363.232,0.064484,4490.296,0.06448,3512.857,0.06448,307.428,0.06448,482.898,0.06448,3054.154,0.06448,3099.642,0.06448,3266.293,0.06448,1382.974,0.06448,268.699,0.06448,3842.167,0.06448,214.781,0.06448,286.321,0.06448,1896.244,0.06448,4208.110,0.06448,0.000,0.06448,4380.195,0.06448,4797.169,0.06448,4770.821,0.06448,1070.672,0.06448,387.801,0.06448,148.460,0.064484,1564.251,0.064484,2729.400,0.06448,3960.553,0.06448,2245.720,0.06448,247.792,0.06448,3447.550,0.06448,60.590,0.06448,2365.532,0.06448,80.429,0.06448,2420.906,0.064484,6457.344,0.06448,193.174,0.06448,172.570,0.064484,3650.413,0.06448,4069.596,0.06448,2216.168,0.06448,3493.441,0.06448,258.219,0.06448,6542.016,0.06448,2208.336,0.06448,3082.461,0.06448,4319.201,0.06448,300.933,0.064484,2915.963,0.06448,3925.854,0.06448,0.000,0.06448,2240.118,0.06448,1797.110,0.06448,3811.831,0.06448,262.836,0.06448,4689.367,0.06448,62.486,0.06448,1741.578,0.06448,1540.761,0.06448,123.571,0.06448,625.617,0.06448,1885.741,0.064484,19.262,0.06448,6777.467,0.06448,1746.390,0.06448,4775.413,0.06448,1787.461,0.06448,335.802,0.06448,3202.652,0.064484,0.000,0.06448,2853.262,0.06448,5878.986,0.06448,3635.432,0.06448,133.139,0.06448,1406.929,0.06448,140.282,0.06448,1719.643,0.06448,2599.562,0.064484,2166.526,0.06448,1033.507,0.064484,69.812,0.06448,1221.704,0.064484,1987.395,0.06448,204.820,0.06448,1562.688
0.09673,312.767,0.096726,3280.751,0.09673,4269.432,0.09673,0.701,0.09673,1402.355,0.09673,4163.369,0.09673,3616.001,0.09673,1724.747,0.09673,1738.368,0.09673,3864.426,0.09673,6076.934,0.09673,9630.902,0.09673,4582.884,0.09673,57.556,0.09673,1766.484,0.096726,4533.957,0.09673,4147.072,0.09673,290.749,0.09673,1141.892,0.09673,3596.237,0.09673,3849.587,0.09673,3539.373,0.09673,1763.073,0.09673,272.775,0.09673,3967.725,0.09673,305.106,0.09673,329.131,0.09673,1851.684,0.09673,4548.305,0.09673,0.000,0.09673,4624.906,0.09673,4754.949,0.09673,5053.072,0.09673,1703.649,0.09673,639.298,0.09673,69.932,0.096726,2604.896,0.096726,2548.933,0.09673,3932.200,0.09673,2323.753,0.09673,444.682,0.09673,3669.265,0.09673,71.803,0.09673,2795.283,0.09673,29.126,0.09673,3346.500,0.096726,7087.134,0.09673,150.944,0.09673,210.774,0.096726,3965.454,0.09673,5009.000,0.09673,2425.162,0.09673,3770.798,0.09673,488.587,0.09673,7038.902,0.09673,3000.321,0.09673,3427.824,0.09673,5278.987,0.09673,329.200,0.096726,3457.420,0.09673,4442.972,0.09673,0.000,0.09673,3068.750,0.09673,1456.534,0.09673,4401.277,0.09673,96.821,0.09673,5071.617,0.09673,59.499,0.09673,2188.995,0.09673,1810.639,0.09673,212.753,0.09673,553.080,0.09673,2522.564,0.096726,53.192,0.09673,7314.433,0.09673,1206.056,0.09673,4653.963,0.09673,2280.225,0.09673,1019.204,0.09673,3807.909,0.096726,0.000,0.09673,3652.408,0.09673,6679.946,0.09673,3766.432,0.09673,472.263,0.09673,2050.312,0.09673,93.914,0.09673,1291.595,0.09673,2913.594,0.096726,2832.541,0.09673,2015.360,0.096726,100.161,0.09673,1669.432,0.096726,2295.454,0.09673,460.615,0.09673,1829.524
0.12897,415.900,0.128968,3880.758,0.12897,4686.076,0.12897,0.585,0.12897,1918.975,0.12897,4615.432,0.12897,4132.622,0.12897,2020.286,0.12897,1823.594,0.12897,4427.663,0.12897,6519.498,0.12897,9911.136,0.12897,5514.647,0.12897,329.175,0.12897,2061.620,0.128968,4370.373,0.12897,4830.396,0.12897,310.967,0.12897,1906.959,0.12897,4158.955,0.12897,4394.769,0.12897,3877.306,0.12897,2174.200,0.12897,234.487,0.12897,3681.239,0.12897,452.088,0.12897,367.736,0.12897,1868.253,0.12897,4569.587,0.12897,0.000,0.12897,4885.873,0.12897,4399.341,0.12897,4939.128,0.12897,2266.197,0.12897,1114.308,0.12897,17.334,0.128968,3439.399,0.128968,2367.733,0.12897,3278.143,0.12897,2404.046,0.12897,953.358,0.12897,3857.091,0.12897,79.846,0.12897,3049.740,0.12897,89.953,0.12897,3801.955,0.128968,7197.910,0.12897,97.579,0.12897,266.170,0.128968,4290.947,0.12897,5886.043,0.12897,2815.334,0.12897,4239.978,0.12897,1421.628,0.12897,7500.092,0.12897,3755.867,0.12897,3726.997,0.12897,6291.463,0.12897,276.700,0.128968,3879.073,0.12897,4539.104,0.12897,4.007,0.12897,4029.417,0.12897,1369.878,0.12897,4712.536,0.12897,39.706,0.12897,5532.350,0.12897,78.294,0.12897,2627.284,0.12897,1938.591,0.12897,262.592,0.12897,352.873,0.12897,3159.708,0.128968,88.391,0.12897,7721.667,0.12897,901.677,0.12897,4546.604,0.12897,2660.743,0.12897,1892.123,0.12897,4337.135,0.128968,6.533,0.12897,4288.381,0.12897,6988.155,0.12897,3804.491,0.12897,915.359,0.12897,2939.964,0.12897,44.024,0.12897,791.953,0.12897,3131.641,0.128968,3708.293,0.12897,3153.597,0.128968,184.582,0.12897,2201.944,0.128968,2614.097,0.12897,739.508,0.12897,2084.859
0.16121,428.926,0.161210,4386.422,0.16121,4935.678,0.16121,0.004,0.16121,2452.236,0.16121,4955.487,0.16121,4762.231,0.16121,2314.753,0.16121,2039.070,0.16121,5232.024,0.16121,7042.728,0.16121,9790.873,0.16121,6306.965,0.16121,965.782,0.16121,2149.537,0.161210,4367.518,0.16121,5293.490,0.16121,330.387,0.16121,2436.163,0.16121,4515.146,0.16121,4705.403,0.16121,4247.208,0.16121,2522.251,0.16121,181.696,0.16121,3258.841,0.16121,624.040,0.16121,426.762,0.16121,1938.889,0.16121,4484.136,0.16121,0.000,0.16121,4957.203,0.16121,3689.959,0.16121,4653.699,0.16121,2830.816,0.16121,1656.877,0.16121,30.043,0.161210,3754.998,0.161210,2360.767,0.16121,2078.839,0.16121,2469.418,0.16121,1674.520,0.16121,3948.275,0.16121,137.076,0.16121,3285.664,0.16121,123.696,0.16121,4109.326,0.161210,6804.743,0.16121,46.901,0.16121,290.264,0.161210,4661.295,0.16121,6770.455,0.16121,3091.751,0.16121,5188.360,0.16121,3545.217,0.16121,7628.237,0.16121,4508.233,0.16121,3847.701,0.16121,7262.008,0.16121,197.100,0.161210,4175.353,0.16121,4640.083,0.16121,8.776,0.16121,5302.083,0.16121,1575.476,0.16121,4753.708,0.16121,134.306,0.16121,5945.483,0.16121,218.788,0.16121,3153.137,0.16121,2013.335,0.16121,259.401,0.16121,204.472,0.16121,3430.840,0.161210,102.430,0.16121,8008.317,0.16121,877.924,0.16121,4405.786,0.16121,3036.896,0.16121,2663.622,0.16121,4600.349,0.161210,17.633,0.16121,4705.981,0.16121,7027.335,0.16121,3747.264,0.16121,1379.486,0.16121,3608.180,0.16121,14.355,0.16121,373.911,0.16121,3271.159,0.161210,4504.248,0.16121,4248.035,0.161210,221.027,0.16121,2706.046,0.161210,2973.527,0.16121,1199.114,0.16121,2348.207
0.19345,332.250,0.193452,4766.213,0.19345,4997.231,0.19345,0.000,0.19345,3064.370,0.19345,5166.324,0.19345,5404.414,0.19345,2541.938,0.19345,2482.049,0.19345,6173.351,0.19345,7381.072,0.19345,9219.504,0.19345,6748.170,0.19345,1767.363,0.19345,2077.111,0.193452,4688.829,0.19345,5510.697,0.19345,353.394,0.19345,2688.661,0.19345,4637.315,0.19345,4834.235,0.19345,4497.774,0.19345,2754.192,0.19345,149.153,0.19345,2918.997,0.19345,744.354,0.19345,579.518,0.19345,1983.853,0.19345,4517.137,0.19345,8.572,0.19345,4832.139,0.19345,2722.594,0.19345,4259.878,0.19345,3497.449,0.19345,2239.152,0.19345,95.919,0.193452,3483.428,0.193452,2455.767,0.19345,977.657,0.19345,2463.171,0.19345,2290.591,0.19345,3833.550,0.19345,320.475,0.19345,3554.290,0.19345,73.453,0.19345,4530.128,0.193452,6313.430,0.19345,6.134,0.19345,354.661,0.193452,5066.131,0.19345,7715.144,0.19345,3210.723,0.19345,6000.945,0.19345,6798.221,0.19345,7272.997,0.19345,5244.708,0.19345,3804.115,0.19345,7832.241,0.19345,173.100,0.193452,4595.308,0.19345,5154.471,0.19345,7.838,0.19345,6757.926,0.19345,1906.434,0.19345,4593.860,0.19345,276.747,0.19345,6052.367,0.19345,521.541,0.19345,3774.208,0.19345,2094.031,0.19345,299.208,0.19345,131.517,0.19345,3337.573,0.193452,111.258,0.19345,8150.467,0.19345,1046.266,0.19345,4114.340,0.19345,3564.461,0.19345,3280.434,0.19345,4626.732,0.193452,101.667,0.19345,4813.880,0.19345,7023.603,0.19345,3841.514,0.19345,1815.953,0.19345,3855.742,0.19345,8.564,0.19345,166.339,0.19345,3403.145,0.193452,5042.077,0.19345,5030.207,0.193452,207.984,0.19345,3088.385,0.193452,3301.705,0.19345,1890.791,0.19345,2622.944
0.22569,203.036,0.225694,5166.694,0.22569,4928.658,0.22569,0.000,0.22569,3618.324,0.22569,5390.472,0.22569,5912.276,0.22569,2719.998,0.22569,3033.163,0.22569,7035.781,0.22569,7193.856,0.22569,8147.500,0.22569,7279.664,0.22569,2529.893,0.22569,2031.047,0.225694,4871.830,0.22569,5672.768,0.22569,348.458,0.22569,2810.349,0.22569,4643.881,0.22569,4791.640,0.22569,4634.179,0.22569,2978.553,0.22569,169.443,0.22569,2513.036,0.22569,752.196,0.22569,813.954,0.22569,1953.791,0.22569,4612.137,0.22569,118.335,0.22569,4756.956,0.22569,1700.441,0.22569,3776.601,0.22569,4185.177,0.22569,2791.209,0.22569,183.206,0.225694,2891.143,0.225694,2449.600,0.22569,467.490,0.22569,2396.068,0.22569,2544.280,0.22569,3445.256,0.22569,628.663,0.22569,3778.159,0.22569,42.479,0.22569,4974.493,0.225694,5879.063,0.22569,36.028,0.22569,537.188,0.225694,5418.410,0.22569,8613.436,0.22569,3223.502,0.22569,6273.834,0.22569,10232.280,0.22569,6616.586,0.22569,5906.769,0.22569,3646.163,0.22569,7749.873,0.22569,256.367,0.225694,5286.614,0.22569,6094.037,0.22569,47.270,0.22569,8001.500,0.22569,2205.874,0.22569,4538.044,0.22569,369.983,0.22569,5677.900,0.22569,848.837,0.22569,4369.416,0.22569,2157.177,0.22569,372.755,0.22569,113.097,0.22569,3318.183,0.225694,123.352,0.22569,8213.866,0.22569,1316.120,0.22569,3566.974,0.22569,4160.565,0.22569,3754.829,0.22569,4530.042,0.225694,306.233,0.22569,4561.064,0.22569,6948.089,0.22569,3991.386,0.22569,2176.098,0.22569,3957.101,0.22569,8.316,0.22569,113.227,0.22569,3491.324,0.225694,5296.075,0.22569,5412.289,0.225694,173.691,0.22569,3511.865,0.225694,3507.066,0.22569,2647.400,0.22569,2790.311
0.25794,116.192,0.257937,5516.381,0.25794,4765.631,0.25794,17.327,0.25794,3950.888,0.25794,5652.949,0.25794,6144.346,0.25794,2978.244,0.25794,3448.983,0.25794,7548.852,0.25794,6322.478,0.25794,6552.356,0.25794,7829.568,0.25794,3069.079,0.25794,2223.821,0.257937,4386.738,0.25794,5805.635,0.25794,357.395,0.25794,3000.720,0.25794,4567.686,0.25794,4519.404,0.25794,4826.570,0.25794,3349.273,0.25794,140.487,0.25794,1882.351,0.25794,663.795,0.25794,1063.995,0.25794,1845.861,0.25794,4659.715,0.25794,401.178,0.25794,4611.798,0.25794,945.988,0.25794,3345.132,0.25794,4600.931,0.25794,3140.175,0.25794,212.453,0.257937,2429.406,0.257937,2206.333,0.25794,255.400,0.25794,2293.837,0.25794,2474.195,0.25794,2942.856,0.25794,1178.645,0.25794,3855.711,0.25794,63.620,0.25794,5354.115,0.257937,5336.810,0.25794,134.966,0.25794,732.385,0.257937,5619.080,0.25794,9327.731,0.25794,3144.314,0.25794,5865.646,0.25794,12617.679,0.25794,6015.890,0.25794,6409.963,0.25794,3411.020,0.25794,7012.845,0.25794,489.633,0.257937,6080.418,0.25794,6933.332,0.25794,169.044,0.25794,8811.583,0.25794,2461.668,0.25794,4593.675,0.25794,466.269,0.25794,4805.200,0.25794,1018.668,0.25794,4933.948,0.25794,2191.141,0.25794,395.067,0.25794,231.291,0.25794,3771.008,0.257937,121.443,0.25794,8120.467,0.25794,1603.946,0.25794,2826.906,0.25794,4585.984,0.25794,4100.688,0.25794,4374.160,0.257937,596.700,0.25794,4007.701,0.25794,6662.211,0.25794,3945.387,0.25794,2525.986,0.25794,4194.646,0.25794,0.000,0.25794,167.870,0.25794,3461.037,0.257937,5283.794,0.25794,5484.684,0.257937,146.812,0.25794,4088.134,0.257937,3755.693,0.25794,3274.115,0.25794,2797.182
0.29018,133.539,0.290179,5595.565,0.29018,4444.366,0.29018,41.915,0.29018,4144.121,0.29018,5857.160,0.29018,6070.721,0.29018,3346.636,0.29018,3728.905,0.29018,7672.333,0.29018,4874.042,0.29018,4568.272,0.29018,8101.729,0.29018,3344.871,0.29018,2490.307,0.290179,3393.992,0.29018,5810.872,0.29018,372.418,0.29018,3418.232,0.29018,4323.243,0.29018,3986.295,0.29018,5127.844,0.29018,3934.051,0.29018,122.791,0.29018,1187.636,0.29018,505.778,0.29018,1254.804,0.29018,1721.425,0.29018,4466.108,0.29018,837.683,0.29018,4148.277,0.29018,426.155,0.29018,3188.927,0.29018,4822.361,0.29018,3226.545,0.29018,218.252,0.290179,2289.162,0.290179,1953.867,0.29018,152.751,0.29018,2103.271,0.29018,2260.558,0.29018,2428.956,0.29018,1997.781,0.29018,3697.662,0.29018,144.139,0.29018,5793.255,0.290179,4688.931,0.29018,226.413,0.29018,834.431,0.290179,5552.750,0.29018,9654.019,0.29018,2915.631,0.29018,5309.442,0.29018,13498.304,0.29018,5592.709,0.29018,6829.871,0.29018,2856.851,0.29018,5799.951,0.29018,724.733,0.290179,6668.212,0.29018,7293.395,0.29018,387.959,0.29018,9201.503,0.29018,2712.877,0.29018,4404.419,0.29018,621.973,0.29018,3588.183,0.29018,930.232,0.29018,5680.159,0.29018,2267.882,0.29018,397.051,0.29018,410.666,0.29018,4660.948,0.290179,97.078,0.29018,7778.867,0.29018,1932.262,0.29018,2074.201,0.29018,4694.434,0.29018,4234.410,0.29018,4048.240,0.290179,1052.733,0.29018,3280.912,0.29018,6122.640,0.29018,3563.339,0.29018,3029.378,0.29018,4575.892,0.29018,0.000,0.29018,301.455,0.29018,3274.406,0.290179,4947.216,0.29018,5459.373,0.290179,198.093,0.29018,4827.195,0.290179,4248.449,0.29018,3629.179,0.29018,2655.966
