Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95
0.00000,145.053,0.000000,15.593,0.00000,406.537,0.00000,0.000,0.00000,215.158,0.00000,1424.399,0.00000,614.682,0.00000,10.020,0.00000,569.407,0.00000,17.715,0.00000,900.880,0.00000,179.725,0.00000,176.000,0.00000,186.178,0.00000,197.877,0.000000,1.766,0.00000,140.132,0.00000,436.408,0.00000,0.000,0.00000,126.609,0.00000,3120.475,0.00000,7.924,0.00000,0.000,0.00000,26.248,0.00000,837.158,0.00000,275.709,0.00000,285.095,0.00000,0.664,0.00000,97.160,0.00000,0.000,0.00000,2565.636,0.00000,0.000,0.00000,150.333,0.00000,1.424,0.00000,596.895,0.00000,384.752,0.000000,77.844,0.000000,52.083,0.00000,179.999,0.00000,0.000,0.00000,252.249,0.00000,126.999,0.00000,0.663,0.00000,337.350,0.00000,124.232,0.00000,43.714,0.000000,364.439,0.00000,197.468,0.00000,409.094,0.000000,674.290,0.00000,169.082,0.00000,1755.257,0.00000,13.249,0.00000,9708.580,0.00000,304.390,0.00000,92.789,0.00000,203.142,0.00000,818.088,0.00000,493.067,0.000000,122.437,0.00000,418.027,0.00000,157.272,0.00000,1462.370,0.00000,6623.224,0.00000,410.454,0.00000,689.841,0.00000,76.333,0.00000,296.233,0.00000,254.362,0.00000,3369.343,0.00000,20.924,0.00000,616.013,0.00000,30.768,0.000000,1.870,0.00000,0.000,0.00000,632.483,0.00000,413.603,0.00000,129.342,0.00000,2006.204,0.00000,6.560,0.000000,95.367,0.00000,301.298,0.00000,190.858,0.00000,24.467,0.00000,0.000,0.00000,205.338,0.00000,0.000,0.00000,0.000,0.00000,54.013,0.000000,116.245,0.00000,5080.965,0.000000,284.891,0.00000,904.072,0.000000,113.925,0.00000,1039.873,0.00000,741.188
0.03224,224.471,0.032242,48.114,0.03224,494.444,0.03224,0.000,0.03224,0.000,0.03224,1049.852,0.03224,681.106,0.03224,23.216,0.03224,556.216,0.03224,17.031,0.03224,994.810,0.03224,171.012,0.03224,142.210,0.03224,129.731,0.03224,146.931,0.032242,0.000,0.03224,297.276,0.03224,448.290,0.03224,0.000,0.03224,224.666,0.03224,2427.024,0.03224,28.228,0.03224,0.000,0.03224,54.365,0.03224,502.618,0.03224,733.879,0.03224,325.326,0.03224,17.934,0.03224,94.607,0.03224,0.000,0.03224,2061.837,0.03224,1.069,0.03224,556.872,0.03224,25.535,0.03224,1009.592,0.03224,277.144,0.032242,210.792,0.032242,78.933,0.03224,80.725,0.03224,3.533,0.03224,356.594,0.03224,282.833,0.03224,0.000,0.03224,391.453,0.03224,100.066,0.03224,344.233,0.032242,409.479,0.03224,66.963,0.03224,316.507,0.032242,917.308,0.03224,154.016,0.03224,1160.132,0.03224,41.182,0.03224,9529.332,0.03224,324.353,0.03224,117.187,0.03224,96.580,0.03224,172.092,0.03224,678.667,0.032242,356.388,0.03224,334.134,0.03224,112.314,0.03224,1754.793,0.03224,6680.615,0.03224,557.943,0.03224,555.573,0.03224,0.000,0.03224,95.372,0.03224,31.385,0.03224,3361.137,0.03224,5.465,0.03224,628.634,0.03224,103.322,0.032242,38.795,0.03224,0.000,0.03224,943.780,0.03224,472.962,0.03224,144.699,0.03224,1248.485,0.03224,23.315,0.032242,97.233,0.03224,10.029,0.03224,312.152,0.03224,66.569,0.03224,0.000,0.03224,329.548,0.03224,0.000,0.03224,0.000,0.03224,75.159,0.032242,43.838,0.03224,4017.812,0.032242,327.972,0.03224,865.884,0.032242,163.926,0.03224,1984.744,0.03224,1147.522
0.06448,294.123,0.064484,113.245,0.06448,547.004,0.06448,0.000,0.06448,0.000,0.06448,963.911,0.06448,551.963,0.06448,90.332,0.06448,548.306,0.06448,4.399,0.06448,930.412,0.06448,192.476,0.06448,90.073,0.06448,62.155,0.06448,128.717,0.064484,0.000,0.06448,326.584,0.06448,430.744,0.06448,0.000,0.06448,343.833,0.06448,1922.734,0.06448,13.849,0.06448,0.958,0.06448,94.877,0.06448,402.518,0.06448,1371.082,0.06448,330.640,0.06448,80.018,0.06448,117.348,0.06448,0.000,0.06448,1493.849,0.06448,38.344,0.06448,950.705,0.06448,77.823,0.06448,1501.382,0.06448,188.592,0.064484,662.078,0.064484,74.900,0.06448,114.547,0.06448,58.341,0.06448,336.961,0.06448,411.437,0.06448,1.051,0.06448,317.586,0.06448,34.208,0.06448,563.963,0.064484,460.617,0.06448,29.584,0.06448,242.012,0.064484,1059.837,0.06448,92.083,0.06448,1057.292,0.06448,17.357,0.06448,9148.699,0.06448,333.554,0.06448,103.230,0.06448,30.683,0.06448,3.952,0.06448,791.000,0.064484,547.222,0.06448,245.246,0.06448,43.334,0.06448,2086.754,0.06448,7003.501,0.06448,726.853,0.06448,476.908,0.06448,0.000,0.06448,25.572,0.06448,1.053,0.06448,2848.947,0.06448,4.091,0.06448,583.120,0.06448,309.882,0.064484,150.289,0.06448,0.000,0.06448,1346.983,0.06448,515.381,0.06448,239.020,0.06448,591.699,0.06448,42.441,0.064484,94.467,0.06448,0.000,0.06448,323.328,0.06448,84.599,0.06448,0.000,0.06448,408.476,0.06448,0.000,0.06448,0.000,0.06448,58.308,0.064484,21.460,0.06448,2538.738,0.064484,339.087,0.06448,663.386,0.064484,252.163,0.06448,2517.253,0.06448,1585.815
0.09673,343.732,0.096726,242.956,0.09673,570.613,0.09673,0.000,0.09673,0.000,0.09673,953.469,0.09673,348.405,0.09673,188.533,0.09673,635.297,0.09673,0.921,0.09673,771.540,0.09673,293.148,0.09673,98.906,0.09673,3.555,0.09673,173.956,0.096726,0.000,0.09673,255.859,0.09673,398.975,0.09673,0.000,0.09673,375.944,0.09673,1684.525,0.09673,0.592,0.09673,34.921,0.09673,108.388,0.09673,432.654,0.09673,2191.928,0.09673,306.743,0.09673,179.074,0.09673,176.435,0.09673,0.000,0.09673,1081.289,0.09673,138.988,0.09673,1175.672,0.09673,100.417,0.09673,1952.722,0.09673,171.752,0.096726,1468.257,0.096726,41.967,0.09673,262.655,0.09673,168.421,0.09673,206.973,0.09673,499.489,0.09673,42.825,0.09673,167.550,0.09673,2.050,0.09673,508.411,0.096726,586.661,0.09673,85.354,0.09673,385.721,0.096726,1076.534,0.09673,65.765,0.09673,1135.361,0.09673,0.317,0.09673,8097.567,0.09673,304.735,0.09673,100.215,0.09673,41.802,0.09673,0.000,0.09673,702.500,0.096726,634.418,0.09673,147.609,0.09673,1.997,0.09673,2288.470,0.09673,7796.760,0.09673,893.531,0.09673,457.999,0.09673,0.000,0.09673,40.578,0.09673,11.446,0.09673,2219.876,0.09673,46.044,0.09673,447.648,0.09673,508.293,0.096726,258.815,0.09673,0.000,0.09673,1897.406,0.09673,420.710,0.09673,432.614,0.09673,161.385,0.09673,56.459,0.096726,68.733,0.09673,0.000,0.09673,213.818,0.09673,96.494,0.09673,0.000,0.09673,423.353,0.09673,0.000,0.09673,0.000,0.09673,73.805,0.096726,15.927,0.09673,1254.950,0.096726,275.815,0.09673,461.699,0.096726,435.465,0.09673,2343.476,0.09673,1900.206
0.12897,371.094,0.128968,421.296,0.12897,548.914,0.12897,0.000,0.12897,0.295,0.12897,824.595,0.12897,240.557,0.12897,233.728,0.12897,887.928,0.12897,70.411,0.12897,638.330,0.12897,471.443,0.12897,210.451,0.12897,30.873,0.12897,220.807,0.128968,14.891,0.12897,183.495,0.12897,365.505,0.12897,0.000,0.12897,283.198,0.12897,1487.163,0.12897,10.491,0.12897,97.639,0.12897,91.889,0.12897,466.922,0.12897,3188.214,0.12897,335.280,0.12897,331.404,0.12897,257.330,0.12897,0.000,0.12897,982.521,0.12897,204.268,0.12897,1292.264,0.12897,99.233,0.12897,2303.356,0.12897,133.683,0.128968,2140.614,0.128968,23.833,0.12897,469.177,0.12897,231.324,0.12897,117.296,0.12897,520.388,0.12897,212.707,0.12897,102.132,0.12897,44.757,0.12897,238.832,0.128968,733.343,0.12897,145.700,0.12897,1138.526,0.128968,978.973,0.12897,120.669,0.12897,1056.272,0.12897,0.000,0.12897,5923.099,0.12897,243.614,0.12897,138.062,0.12897,114.524,0.12897,0.000,0.12897,472.067,0.128968,662.771,0.12897,81.764,0.12897,0.000,0.12897,2252.804,0.12897,9313.643,0.12897,1022.487,0.12897,457.509,0.12897,0.000,0.12897,146.201,0.12897,13.092,0.12897,1823.526,0.12897,196.333,0.12897,278.673,0.12897,608.555,0.128968,314.448,0.12897,0.000,0.12897,3063.967,0.12897,233.659,0.12897,619.054,0.12897,20.285,0.12897,66.769,0.128968,53.267,0.12897,0.000,0.12897,85.807,0.12897,69.962,0.12897,0.000,0.12897,411.314,0.12897,0.000,0.12897,0.000,0.12897,150.210,0.128968,81.921,0.12897,530.284,0.128968,234.021,0.12897,394.086,0.128968,785.355,0.12897,1627.462,0.12897,1878.546
0.16121,365.332,0.161210,590.437,0.16121,530.579,0.16121,0.000,0.16121,3.867,0.16121,662.706,0.16121,267.286,0.16121,266.784,0.16121,1257.137,0.16121,333.035,0.16121,627.205,0.16121,674.053,0.16121,404.684,0.16121,194.055,0.16121,244.733,0.161210,91.778,0.16121,175.391,0.16121,333.210,0.16121,0.000,0.16121,160.606,0.16121,1150.083,0.16121,28.957,0.16121,148.582,0.16121,93.910,0.16121,485.146,0.16121,4159.100,0.16121,592.073,0.16121,505.671,0.16121,309.934,0.16121,0.000,0.16121,1212.456,0.16121,207.988,0.16121,1519.030,0.16121,140.305,0.16121,2501.721,0.16121,87.826,0.161210,2362.281,0.161210,28.067,0.16121,614.738,0.16121,207.203,0.16121,142.672,0.16121,470.631,0.16121,506.150,0.16121,158.823,0.16121,120.197,0.16121,13.705,0.161210,811.198,0.16121,185.221,0.16121,2764.978,0.161210,770.471,0.16121,198.692,0.16121,794.261,0.16121,0.000,0.16121,3116.515,0.16121,234.779,0.16121,171.440,0.16121,216.631,0.16121,5.560,0.16121,289.133,0.161210,747.064,0.16121,67.206,0.16121,0.000,0.16121,1951.319,0.16121,11083.405,0.16121,1085.934,0.16121,439.014,0.16121,0.000,0.16121,419.977,0.16121,22.331,0.16121,1712.131,0.16121,458.549,0.16121,213.487,0.16121,539.350,0.161210,326.642,0.16121,165.700,0.16121,5088.551,0.16121,311.021,0.16121,678.165,0.16121,0.000,0.16121,76.843,0.161210,366.400,0.16121,0.000,0.16121,51.672,0.16121,24.687,0.16121,0.000,0.16121,391.223,0.16121,0.000,0.16121,0.000,0.16121,220.796,0.161210,210.525,0.16121,151.207,0.161210,267.418,0.16121,399.344,0.161210,1194.213,0.16121,838.616,0.16121,1444.389
0.19345,392.939,0.193452,670.592,0.19345,573.963,0.19345,26.908,0.19345,4.608,0.19345,703.302,0.19345,386.057,0.19345,346.702,0.19345,1584.339,0.19345,543.896,0.19345,764.818,0.19345,793.801,0.19345,591.499,0.19345,377.074,0.19345,239.407,0.193452,180.031,0.19345,227.744,0.19345,325.436,0.19345,0.000,0.19345,181.886,0.19345,853.462,0.19345,46.807,0.19345,199.532,0.19345,141.116,0.19345,657.642,0.19345,4803.192,0.19345,1274.416,0.19345,626.365,0.19345,298.521,0.19345,0.719,0.19345,1412.092,0.19345,250.709,0.19345,1826.912,0.19345,306.120,0.19345,2767.146,0.19345,67.304,0.193452,2121.368,0.193452,77.967,0.19345,645.099,0.19345,170.625,0.19345,344.424,0.19345,409.750,0.19345,704.767,0.19345,364.114,0.19345,147.995,0.19345,0.248,0.193452,793.652,0.19345,133.711,0.19345,4958.319,0.193452,606.823,0.19345,211.410,0.19345,542.019,0.19345,1.109,0.19345,973.425,0.19345,436.402,0.19345,170.004,0.19345,280.412,0.19345,89.710,0.19345,475.000,0.193452,892.130,0.19345,129.381,0.19345,69.828,0.19345,1424.693,0.19345,12146.272,0.19345,1063.459,0.19345,435.842,0.19345,10.367,0.19345,1031.234,0.19345,94.429,0.19345,1706.345,0.19345,760.792,0.19345,163.922,0.19345,332.103,0.193452,326.136,0.19345,401.633,0.19345,7655.068,0.19345,1044.680,0.19345,625.910,0.19345,0.000,0.19345,83.889,0.193452,1343.433,0.19345,1.283,0.19345,91.783,0.19345,35.458,0.19345,0.000,0.19345,379.405,0.19345,0.000,0.19345,0.134,0.19345,204.529,0.193452,351.640,0.19345,18.613,0.193452,398.720,0.19345,366.363,0.193452,1448.839,0.19345,352.384,0.19345,937.943
0.22569,474.833,0.225694,658.098,0.22569,717.897,0.22569,59.674,0.22569,1.277,0.22569,998.011,0.22569,511.630,0.22569,489.852,0.22569,1742.491,0.22569,539.196,0.22569,1022.456,0.22569,758.122,0.22569,670.781,0.22569,465.477,0.22569,224.202,0.225694,228.054,0.22569,308.067,0.22569,344.310,0.22569,0.562,0.22569,332.612,0.22569,651.424,0.22569,61.058,0.22569,278.621,0.22569,174.406,0.22569,1184.648,0.22569,4888.773,0.22569,2317.829,0.22569,647.907,0.22569,235.516,0.22569,22.068,0.22569,1511.554,0.22569,389.585,0.22569,1975.054,0.22569,425.479,0.22569,3560.833,0.22569,137.571,0.225694,1669.640,0.225694,184.367,0.22569,587.830,0.22569,167.192,0.22569,592.779,0.22569,375.514,0.22569,676.238,0.22569,533.908,0.22569,187.194,0.22569,45.924,0.225694,785.815,0.22569,51.550,0.22569,6971.208,0.225694,660.463,0.22569,162.508,0.22569,397.790,0.22569,37.340,0.22569,47.648,0.22569,774.169,0.22569,199.913,0.22569,307.588,0.22569,271.024,0.22569,1029.700,0.225694,1043.805,0.22569,320.988,0.22569,721.266,0.22569,815.694,0.22569,11731.927,0.22569,954.828,0.22569,569.034,0.22569,7.433,0.22569,2284.658,0.22569,210.352,0.22569,1626.327,0.22569,993.439,0.22569,127.668,0.22569,100.949,0.225694,391.008,0.22569,773.433,0.22569,10230.791,0.22569,2287.527,0.22569,597.339,0.22569,0.000,0.22569,105.755,0.225694,2794.383,0.22569,18.012,0.22569,159.122,0.22569,149.110,0.22569,0.596,0.22569,366.999,0.22569,0.000,0.22569,61.209,0.22569,115.260,0.225694,438.452,0.22569,7.657,0.225694,637.274,0.22569,371.080,0.225694,1456.781,0.22569,231.261,0.22569,674.406
0.25794,725.563,0.257937,615.030,0.25794,942.492,0.25794,52.059,0.25794,0.000,0.25794,1366.723,0.25794,617.117,0.25794,481.875,0.25794,1701.350,0.25794,393.822,0.25794,1326.765,0.25794,574.838,0.25794,597.790,0.25794,436.061,0.25794,227.998,0.257937,255.382,0.25794,362.407,0.25794,386.836,0.25794,19.265,0.25794,437.744,0.25794,525.849,0.25794,113.254,0.25794,368.086,0.25794,217.715,0.25794,2089.809,0.25794,4369.116,0.25794,3426.187,0.25794,578.712,0.25794,169.751,0.25794,85.747,0.25794,1465.044,0.25794,870.748,0.25794,1837.524,0.25794,415.298,0.25794,5142.521,0.25794,334.727,0.257937,1214.395,0.257937,245.167,0.25794,494.491,0.25794,187.417,0.25794,768.074,0.25794,426.360,0.25794,635.299,0.25794,536.293,0.25794,352.958,0.25794,218.966,0.257937,1051.034,0.25794,79.842,0.25794,8054.490,0.257937,842.876,0.25794,154.685,0.25794,441.860,0.25794,173.710,0.25794,34.372,0.25794,1206.552,0.25794,226.731,0.25794,314.893,0.25794,383.015,0.25794,1843.233,0.257937,1195.141,0.25794,548.521,0.25794,2022.172,0.25794,266.488,0.25794,9920.357,0.25794,878.829,0.25794,936.776,0.25794,0.000,0.25794,4329.082,0.25794,310.834,0.25794,1455.475,0.25794,1110.413,0.25794,344.988,0.25794,15.311,0.257937,640.692,0.25794,1371.167,0.25794,12385.943,0.25794,3640.607,0.25794,673.551,0.25794,3.307,0.25794,154.939,0.257937,4365.783,0.25794,278.958,0.25794,206.078,0.25794,676.964,0.25794,30.673,0.25794,373.768,0.25794,0.000,0.25794,531.231,0.25794,34.192,0.257937,553.730,0.25794,84.323,0.257937,1003.981,0.25794,437.093,0.257937,1279.875,0.25794,281.761,0.25794,684.786
0.29018,1141.933,0.290179,592.854,0.29018,1155.817,0.29018,32.575,0.29018,21.026,0.29018,1575.909,0.29018,713.726,0.29018,280.991,0.29018,1519.495,0.29018,308.907,0.29018,1719.787,0.29018,341.216,0.29018,503.351,0.29018,344.248,0.29018,245.447,0.290179,263.609,0.29018,394.202,0.29018,418.555,0.29018,81.504,0.29018,476.503,0.29018,411.141,0.29018,251.135,0.29018,401.876,0.29018,377.767,0.29018,3189.214,0.29018,3414.735,0.29018,4302.083,0.29018,463.024,0.29018,150.595,0.29018,182.665,0.29018,1352.236,0.29018,2039.063,0.29018,1775.427,0.29018,360.157,0.29018,7212.935,0.29018,645.187,0.290179,806.987,0.290179,253.833,0.29018,416.644,0.29018,222.976,0.29018,938.496,0.29018,607.954,0.29018,784.857,0.29018,617.960,0.29018,658.685,0.29018,487.917,0.290179,1839.201,0.29018,322.325,0.29018,8129.650,0.290179,1132.565,0.29018,245.014,0.29018,630.858,0.29018,396.206,0.29018,80.140,0.29018,1897.027,0.29018,265.239,0.29018,376.478,0.29018,335.793,0.29018,2902.567,0.290179,1329.501,0.29018,724.554,0.29018,3641.921,0.29018,16.937,0.29018,7546.184,0.29018,869.611,0.29018,1378.570,0.29018,25.433,0.29018,6439.111,0.29018,385.828,0.29018,1283.633,0.29018,1089.618,0.29018,806.416,0.29018,93.367,0.290179,1089.067,0.29018,2434.633,0.29018,13827.014,0.29018,4641.040,0.29018,826.213,0.29018,100.742,0.29018,168.999,0.290179,5761.083,0.29018,1150.030,0.29018,350.073,0.29018,1957.688,0.29018,171.198,0.29018,411.304,0.29018,0.000,0.29018,1532.576,0.29018,3.263,0.290179,868.708,0.29018,191.498,0.290179,1675.073,0.29018,564.595,0.290179,1055.052,0.29018,279.216,0.29018,770.946
