Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86
0.00000,445.034,0.00000,2.863,0.00000,200.429,0.00000,502.696,0.00000,272.433,0.000000,42.226,0.00000,755.508,0.000000,21.935,0.00000,50.186,0.000000,42.906,0.00000,1.119,0.00000,141.899,0.00000,8.650,0.00000,386.614,0.000000,3.430,0.000000,5.549,0.000000,0.000,0.00000,215.618,0.00000,410.533,0.000000,1557.697,0.00000,16.133,0.000000,252.401,0.00000,522.390,0.000000,478.594,0.00000,450.183,0.00000,447.501,0.00000,63.886,0.00000,277.765,0.00000,390.779,0.000000,144.007,0.00000,363.388,0.00000,552.486,0.00000,434.205,0.00000,402.019,0.00000,684.138,0.00000,379.576,0.00000,149.738,0.00000,394.266,0.00000,583.519,0.000000,229.056,0.000000,6.172,0.00000,1445.202,0.000000,178.657,0.00000,345.944,0.00000,289.818,0.00000,140.026,0.00000,118.201,0.00000,530.749,0.00000,213.192,0.00000,121.769,0.00000,222.356,0.00000,353.560,0.00000,475.161,0.00000,411.481,0.00000,0.000,0.00000,1116.303,0.00000,163.380,0.00000,420.239,0.00000,432.872,0.00000,170.393,0.00000,163.913,0.00000,254.280,0.00000,297.894,0.00000,174.831,0.00000,80.691,0.00000,150.729,0.00000,1.249,0.00000,437.932,0.00000,153.802,0.00000,647.038,0.00000,644.646,0.00000,178.510,0.00000,70.636,0.00000,286.542,0.00000,34.722,0.00000,36.904,0.00000,169.084,0.00000,42.538,0.00000,146.876,0.000000,75.494,0.00000,90.894,0.000000,114.197,0.00000,25.740,0.000000,441.785,0.00000,131.458,0.000000,359.742,0.00000,470.366
0.03224,458.536,0.03224,0.000,0.03224,256.373,0.03224,530.770,0.03224,200.067,0.032242,39.235,0.03224,82.063,0.032242,27.560,0.03224,60.724,0.032242,84.701,0.03224,0.568,0.03224,223.220,0.03224,23.100,0.03224,421.076,0.032242,1.417,0.032242,29.364,0.032242,0.000,0.03224,106.205,0.03224,361.633,0.032242,714.564,0.03224,10.264,0.032242,204.754,0.03224,583.383,0.032242,445.872,0.03224,545.945,0.03224,621.362,0.03224,166.970,0.03224,383.930,0.03224,373.855,0.032242,30.819,0.03224,462.482,0.03224,642.575,0.03224,510.225,0.03224,516.809,0.03224,630.781,0.03224,328.901,0.03224,176.634,0.03224,501.455,0.03224,577.881,0.032242,280.127,0.032242,2.940,0.03224,1575.011,0.032242,472.247,0.03224,375.215,0.03224,439.793,0.03224,197.943,0.03224,214.596,0.03224,526.283,0.03224,364.813,0.03224,112.612,0.03224,159.458,0.03224,423.159,0.03224,494.192,0.03224,378.893,0.03224,0.869,0.03224,1227.549,0.03224,186.598,0.03224,397.089,0.03224,467.182,0.03224,418.757,0.03224,213.492,0.03224,305.889,0.03224,269.748,0.03224,234.861,0.03224,78.206,0.03224,176.646,0.03224,8.135,0.03224,389.428,0.03224,140.811,0.03224,582.911,0.03224,843.960,0.03224,335.447,0.03224,82.501,0.03224,249.684,0.03224,30.351,0.03224,35.479,0.03224,277.103,0.03224,19.232,0.03224,107.680,0.032242,76.153,0.03224,107.572,0.032242,88.950,0.03224,0.000,0.032242,538.759,0.03224,236.892,0.032242,77.040,0.03224,409.296
0.06448,439.379,0.06448,0.000,0.06448,278.347,0.06448,538.051,0.06448,134.367,0.064484,46.863,0.06448,141.537,0.064484,43.006,0.06448,41.704,0.064484,122.784,0.06448,30.408,0.06448,285.996,0.06448,60.833,0.06448,405.206,0.064484,11.505,0.064484,98.422,0.064484,1.283,0.06448,43.687,0.06448,265.633,0.064484,103.706,0.06448,6.116,0.064484,154.432,0.06448,584.912,0.064484,347.426,0.06448,668.169,0.06448,749.060,0.06448,307.787,0.06448,393.085,0.06448,342.751,0.064484,0.000,0.06448,531.133,0.06448,636.292,0.06448,585.924,0.06448,552.966,0.06448,563.201,0.06448,310.887,0.06448,213.360,0.06448,635.067,0.06448,532.648,0.064484,314.008,0.064484,58.519,0.06448,1530.161,0.064484,662.659,0.06448,358.209,0.06448,433.820,0.06448,207.530,0.06448,289.404,0.06448,461.516,0.06448,529.829,0.06448,145.680,0.06448,137.158,0.06448,541.217,0.06448,514.596,0.06448,325.769,0.06448,33.298,0.06448,1236.283,0.06448,189.620,0.06448,409.815,0.06448,449.634,0.06448,910.398,0.06448,249.993,0.06448,405.884,0.06448,197.407,0.06448,255.696,0.06448,66.226,0.06448,152.859,0.06448,27.068,0.06448,299.687,0.06448,176.400,0.06448,521.276,0.06448,1009.118,0.06448,519.114,0.06448,73.324,0.06448,215.578,0.06448,38.660,0.06448,63.570,0.06448,400.455,0.06448,17.051,0.06448,94.057,0.064484,91.836,0.06448,145.015,0.064484,59.140,0.06448,0.000,0.064484,578.648,0.06448,384.595,0.064484,2.164,0.06448,369.891
0.09673,368.238,0.09673,0.000,0.09673,268.956,0.09673,520.196,0.09673,101.233,0.096726,53.059,0.09673,222.266,0.096726,80.829,0.09673,25.071,0.096726,110.530,0.09673,160.089,0.09673,317.976,0.09673,127.283,0.09673,342.128,0.096726,36.447,0.096726,302.399,0.096726,7.739,0.09673,2.233,0.09673,130.867,0.096726,0.000,0.09673,4.455,0.096726,131.426,0.09673,569.119,0.096726,229.010,0.09673,744.749,0.09673,806.571,0.09673,438.200,0.09673,302.763,0.09673,294.064,0.096726,0.655,0.09673,563.998,0.09673,564.423,0.09673,627.186,0.09673,562.786,0.09673,450.050,0.09673,332.627,0.09673,257.437,0.09673,717.692,0.09673,451.852,0.096726,335.047,0.096726,185.728,0.09673,1346.720,0.096726,664.563,0.09673,310.025,0.09673,293.402,0.09673,314.927,0.09673,286.354,0.09673,334.369,0.09673,700.215,0.09673,240.063,0.09673,143.217,0.09673,675.959,0.09673,502.252,0.09673,294.091,0.09673,137.597,0.09673,1169.105,0.09673,185.170,0.09673,377.002,0.09673,374.354,0.09673,1520.250,0.09673,295.901,0.09673,507.298,0.09673,177.526,0.09673,221.641,0.09673,46.344,0.09673,134.313,0.09673,57.452,0.09673,192.748,0.09673,309.356,0.09673,392.024,0.09673,1094.282,0.09673,620.917,0.09673,54.963,0.09673,160.452,0.09673,53.979,0.09673,156.420,0.09673,456.466,0.09673,12.167,0.09673,109.267,0.096726,115.072,0.09673,194.674,0.096726,74.612,0.09673,1.594,0.096726,504.733,0.09673,488.555,0.096726,0.000,0.09673,339.252
0.12897,320.372,0.12897,0.000,0.12897,257.628,0.12897,494.481,0.12897,83.667,0.128968,42.951,0.12897,255.427,0.128968,147.138,0.12897,50.829,0.128968,77.167,0.12897,292.809,0.12897,247.432,0.12897,227.283,0.12897,254.109,0.128968,47.041,0.128968,845.650,0.128968,73.331,0.12897,0.000,0.12897,71.467,0.128968,0.000,0.12897,10.183,0.128968,135.307,0.12897,620.899,0.128968,111.396,0.12897,762.613,0.12897,855.427,0.12897,515.725,0.12897,225.011,0.12897,239.427,0.128968,26.941,0.12897,570.504,0.12897,479.150,0.12897,642.723,0.12897,579.883,0.12897,313.039,0.12897,397.042,0.12897,325.246,0.12897,709.893,0.12897,353.465,0.128968,314.172,0.128968,316.142,0.12897,1052.447,0.128968,511.700,0.12897,272.008,0.12897,145.759,0.12897,699.215,0.12897,356.479,0.12897,211.833,0.12897,826.814,0.12897,341.926,0.12897,129.580,0.12897,763.736,0.12897,428.296,0.12897,287.595,0.12897,299.045,0.12897,1071.492,0.12897,190.915,0.12897,292.878,0.12897,266.606,0.12897,2006.331,0.12897,330.555,0.12897,538.125,0.12897,225.054,0.12897,166.385,0.12897,27.655,0.12897,116.043,0.12897,88.454,0.12897,154.796,0.12897,530.535,0.12897,248.039,0.12897,1085.734,0.12897,621.027,0.12897,65.378,0.12897,143.330,0.12897,64.713,0.12897,236.002,0.12897,426.896,0.12897,45.327,0.12897,110.719,0.128968,122.437,0.12897,304.474,0.128968,113.484,0.12897,76.518,0.128968,329.231,0.12897,458.003,0.128968,0.000,0.12897,302.620
0.16121,271.172,0.16121,3.583,0.16121,273.696,0.16121,500.619,0.16121,81.683,0.161210,12.334,0.16121,223.876,0.161210,280.086,0.16121,157.875,0.161210,36.341,0.16121,397.119,0.16121,105.671,0.16121,288.617,0.16121,149.794,0.161210,47.220,0.161210,1780.051,0.161210,467.793,0.16121,0.000,0.16121,36.600,0.161210,0.000,0.16121,42.729,0.161210,190.254,0.16121,709.506,0.161210,41.093,0.16121,764.225,0.16121,891.799,0.16121,517.951,0.16121,274.188,0.16121,201.994,0.161210,178.292,0.16121,550.320,0.16121,440.129,0.16121,652.294,0.16121,599.788,0.16121,200.856,0.16121,472.293,0.16121,376.097,0.16121,650.125,0.16121,293.209,0.161210,228.315,0.161210,429.063,0.16121,726.030,0.161210,319.281,0.16121,259.924,0.16121,48.124,0.16121,1331.453,0.16121,478.447,0.16121,141.433,0.16121,848.965,0.16121,416.885,0.16121,104.265,0.16121,781.530,0.16121,335.138,0.16121,347.335,0.16121,418.347,0.16121,991.470,0.16121,222.780,0.16121,182.043,0.16121,184.186,0.16121,2297.861,0.16121,322.512,0.16121,480.498,0.16121,280.740,0.16121,93.132,0.16121,14.498,0.16121,105.849,0.16121,116.450,0.16121,161.157,0.16121,719.319,0.16121,117.364,0.16121,952.785,0.16121,553.679,0.16121,99.027,0.16121,187.346,0.16121,76.734,0.16121,270.413,0.16121,314.789,0.16121,87.423,0.16121,57.109,0.161210,92.617,0.16121,481.771,0.161210,141.901,0.16121,331.157,0.161210,137.566,0.16121,265.893,0.161210,0.382,0.16121,284.783
0.19345,217.266,0.19345,105.809,0.19345,315.650,0.19345,552.629,0.19345,225.867,0.193452,0.488,0.19345,168.176,0.193452,515.219,0.19345,303.267,0.193452,10.458,0.19345,474.054,0.19345,19.009,0.19345,315.267,0.19345,51.907,0.193452,114.610,0.193452,2963.535,0.193452,1270.916,0.19345,5.777,0.19345,5.283,0.193452,0.000,0.19345,105.685,0.193452,313.510,0.19345,816.767,0.193452,71.351,0.19345,791.008,0.19345,837.227,0.19345,472.551,0.19345,403.786,0.19345,169.424,0.193452,569.131,0.19345,483.122,0.19345,476.906,0.19345,665.221,0.19345,583.472,0.19345,124.107,0.19345,516.094,0.19345,389.020,0.19345,602.116,0.19345,307.024,0.193452,132.919,0.193452,523.095,0.19345,445.857,0.193452,239.571,0.19345,302.369,0.19345,5.873,0.19345,2008.592,0.19345,632.149,0.19345,147.930,0.19345,762.764,0.19345,461.293,0.19345,75.193,0.19345,778.743,0.19345,275.808,0.19345,511.669,0.19345,460.177,0.19345,939.847,0.19345,295.855,0.19345,66.760,0.19345,121.300,0.19345,2282.304,0.19345,264.213,0.19345,373.194,0.19345,334.854,0.19345,57.014,0.19345,12.359,0.19345,121.883,0.19345,139.445,0.19345,131.000,0.19345,765.376,0.19345,20.835,0.19345,684.055,0.19345,459.284,0.19345,88.590,0.19345,280.013,0.19345,140.945,0.19345,268.277,0.19345,173.855,0.19345,79.891,0.19345,7.106,0.193452,140.196,0.19345,609.099,0.193452,167.899,0.19345,841.760,0.193452,67.835,0.19345,115.222,0.193452,24.411,0.19345,327.429
0.22569,129.422,0.22569,399.905,0.22569,372.880,0.22569,683.622,0.22569,688.100,0.225694,0.000,0.22569,149.516,0.225694,719.401,0.22569,425.184,0.225694,12.851,0.22569,552.370,0.22569,0.000,0.22569,405.033,0.22569,6.343,0.225694,516.477,0.225694,4147.364,0.225694,2269.802,0.22569,21.688,0.22569,9.317,0.225694,0.000,0.22569,191.427,0.225694,539.894,0.22569,850.839,0.225694,288.300,0.22569,871.765,0.22569,696.231,0.22569,421.286,0.22569,518.260,0.22569,137.428,0.225694,1285.284,0.22569,372.316,0.22569,530.867,0.22569,655.557,0.22569,517.000,0.22569,91.355,0.22569,491.400,0.22569,369.590,0.22569,605.569,0.22569,348.671,0.225694,65.839,0.225694,582.381,0.22569,205.464,0.225694,277.347,0.22569,370.453,0.22569,0.000,0.22569,2571.542,0.22569,746.952,0.22569,193.345,0.22569,628.813,0.22569,484.028,0.22569,101.632,0.22569,841.474,0.22569,220.224,0.22569,783.729,0.22569,458.596,0.22569,909.383,0.22569,324.519,0.22569,4.792,0.22569,56.982,0.22569,2040.706,0.22569,186.816,0.22569,305.688,0.22569,375.626,0.22569,35.949,0.22569,18.904,0.22569,182.050,0.22569,166.713,0.22569,92.082,0.22569,794.293,0.22569,0.288,0.22569,357.260,0.22569,327.744,0.22569,90.864,0.22569,490.420,0.22569,203.973,0.22569,249.634,0.22569,64.972,0.22569,58.688,0.22569,17.128,0.225694,189.842,0.22569,613.847,0.225694,176.644,0.22569,1874.200,0.225694,100.433,0.22569,83.059,0.225694,165.053,0.22569,379.502
0.25794,92.630,0.25794,1038.198,0.25794,439.914,0.25794,828.930,0.25794,1370.167,0.257937,0.000,0.25794,163.938,0.257937,819.103,0.25794,478.320,0.257937,22.445,0.25794,632.542,0.25794,0.000,0.25794,460.600,0.25794,0.000,0.257937,1378.542,0.257937,5095.438,0.257937,3219.487,0.25794,182.330,0.25794,4.867,0.257937,501.528,0.25794,303.836,0.257937,920.696,0.25794,812.544,0.257937,1046.185,0.25794,996.551,0.25794,556.005,0.25794,387.904,0.25794,565.506,0.25794,86.209,0.257937,2408.218,0.25794,225.575,0.25794,544.789,0.25794,627.666,0.25794,433.773,0.25794,118.685,0.25794,383.990,0.25794,366.447,0.25794,665.120,0.25794,340.295,0.257937,57.102,0.257937,601.842,0.25794,66.878,0.257937,369.684,0.25794,426.200,0.25794,0.000,0.25794,2907.803,0.25794,794.062,0.25794,258.913,0.25794,542.527,0.25794,447.818,0.25794,257.843,0.25794,930.423,0.25794,179.887,0.25794,1083.151,0.25794,447.496,0.25794,875.298,0.25794,276.481,0.25794,2.067,0.25794,16.440,0.25794,1599.042,0.25794,128.367,0.25794,362.156,0.25794,397.568,0.25794,18.202,0.25794,75.143,0.25794,278.557,0.25794,196.692,0.25794,223.931,0.25794,756.681,0.25794,50.641,0.25794,122.369,0.25794,94.612,0.25794,92.724,0.25794,742.997,0.25794,257.191,0.25794,223.116,0.25794,17.627,0.25794,88.664,0.25794,55.884,0.257937,177.585,0.25794,480.692,0.257937,155.713,0.25794,3418.629,0.257937,272.548,0.25794,155.485,0.257937,345.680,0.25794,368.264
0.29018,131.879,0.29018,2129.711,0.29018,502.131,0.29018,917.661,0.29018,2137.467,0.290179,1.483,0.29018,172.621,0.290179,775.494,0.29018,454.248,0.290179,55.213,0.29018,673.570,0.29018,2.379,0.29018,453.267,0.29018,0.000,0.290179,2452.098,0.290179,5441.087,0.290179,3903.925,0.29018,433.851,0.29018,0.550,0.290179,2350.846,0.29018,434.971,0.290179,1513.127,0.29018,752.024,0.290179,2792.279,0.29018,1117.719,0.29018,445.716,0.29018,381.575,0.29018,555.024,0.29018,40.372,0.290179,3847.453,0.29018,114.802,0.29018,499.082,0.29018,574.916,0.29018,394.772,0.29018,326.443,0.29018,244.007,0.29018,412.240,0.29018,753.413,0.29018,262.600,0.290179,171.356,0.290179,581.905,0.29018,63.762,0.290179,437.724,0.29018,403.387,0.29018,0.000,0.29018,2932.266,0.29018,742.067,0.29018,291.349,0.29018,567.360,0.29018,355.693,0.29018,578.206,0.29018,968.265,0.29018,160.926,0.29018,1361.814,0.29018,428.553,0.29018,838.463,0.29018,200.085,0.29018,19.195,0.29018,29.204,0.29018,1110.242,0.29018,111.059,0.29018,510.846,0.29018,426.410,0.29018,2.162,0.29018,164.493,0.29018,381.260,0.29018,224.239,0.29018,704.088,0.29018,660.509,0.29018,386.341,0.29018,13.502,0.29018,6.530,0.29018,80.463,0.29018,889.829,0.29018,327.083,0.29018,213.952,0.29018,10.017,0.29018,233.137,0.29018,116.530,0.290179,117.218,0.29018,285.392,0.290179,148.575,0.29018,5105.769,0.290179,673.071,0.29018,369.908,0.290179,485.015,0.29018,268.618
