Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86
0.00000,268.711,0.00000,10432.269,0.00000,95.671,0.00000,152.079,0.00000,80.833,0.000000,0.000,0.00000,1894.827,0.000000,1.535,0.00000,11.348,0.000000,500.604,0.00000,49.123,0.00000,234.961,0.00000,2030.400,0.00000,347.123,0.000000,264.399,0.000000,688.012,0.000000,2140.529,0.00000,3360.645,0.00000,170.717,0.000000,152.806,0.00000,320.246,0.000000,39.257,0.00000,200.773,0.000000,1671.549,0.00000,262.032,0.00000,1815.583,0.00000,973.166,0.00000,8.300,0.00000,59.992,0.000000,364.149,0.00000,257.163,0.00000,284.198,0.00000,481.970,0.00000,174.330,0.00000,240.669,0.00000,389.906,0.00000,670.518,0.00000,282.434,0.00000,285.881,0.000000,16.792,0.000000,2.278,0.00000,168.196,0.000000,1966.894,0.00000,1197.214,0.00000,27.755,0.00000,8.468,0.00000,1829.141,0.00000,475.921,0.00000,152.715,0.00000,0.969,0.00000,119.994,0.00000,392.226,0.00000,126.123,0.00000,28.047,0.00000,14.755,0.00000,882.804,0.00000,1263.927,0.00000,532.889,0.00000,225.043,0.00000,1940.715,0.00000,0.000,0.00000,608.015,0.00000,469.325,0.00000,19.406,0.00000,139.728,0.00000,2555.507,0.00000,5211.178,0.00000,1711.533,0.00000,362.321,0.00000,12.030,0.00000,58.334,0.00000,8391.829,0.00000,0.084,0.00000,930.691,0.00000,166.341,0.00000,1949.803,0.00000,33.867,0.00000,9.014,0.00000,27.466,0.000000,4.415,0.00000,217.574,0.000000,11.308,0.00000,6135.258,0.000000,788.178,0.00000,44.292,0.000000,149.416,0.00000,39.747
0.03224,281.527,0.03224,11103.232,0.03224,84.978,0.03224,267.182,0.03224,151.400,0.032242,0.000,0.03224,1488.298,0.032242,39.137,0.03224,114.462,0.032242,218.342,0.03224,155.584,0.03224,46.452,0.03224,2105.167,0.03224,376.988,0.032242,352.906,0.032242,931.509,0.032242,1290.208,0.03224,3171.999,0.03224,84.817,0.032242,136.619,0.03224,75.107,0.032242,49.641,0.03224,348.770,0.032242,1363.590,0.03224,252.604,0.03224,1564.822,0.03224,717.970,0.03224,38.407,0.03224,42.775,0.032242,214.391,0.03224,234.068,0.03224,298.288,0.03224,404.258,0.03224,117.246,0.03224,300.803,0.03224,328.490,0.03224,735.146,0.03224,372.059,0.03224,64.701,0.032242,24.084,0.032242,0.000,0.03224,218.165,0.032242,2063.234,0.03224,805.158,0.03224,29.976,0.03224,37.391,0.03224,1838.734,0.03224,367.931,0.03224,328.100,0.03224,29.819,0.03224,162.565,0.03224,244.847,0.03224,103.276,0.03224,68.458,0.03224,96.735,0.03224,819.524,0.03224,1258.940,0.03224,711.846,0.03224,194.467,0.03224,1294.499,0.03224,0.000,0.03224,537.686,0.03224,963.899,0.03224,28.653,0.03224,92.339,0.03224,1362.397,0.03224,5141.975,0.03224,690.385,0.03224,212.568,0.03224,38.746,0.03224,79.566,0.03224,8235.123,0.03224,0.000,0.03224,797.415,0.03224,231.436,0.03224,871.990,0.03224,116.444,0.03224,69.447,0.03224,19.275,0.032242,17.821,0.03224,295.710,0.032242,0.565,0.03224,4952.535,0.032242,877.628,0.03224,112.888,0.032242,32.865,0.03224,38.620
0.06448,287.136,0.06448,11704.930,0.06448,33.312,0.06448,409.982,0.06448,156.267,0.064484,0.000,0.06448,874.270,0.064484,145.031,0.06448,292.105,0.064484,108.784,0.06448,358.314,0.06448,35.340,0.06448,1747.367,0.06448,486.359,0.064484,380.797,0.064484,1198.609,0.064484,702.323,0.06448,2729.777,0.06448,28.383,0.064484,263.021,0.06448,0.978,0.064484,38.881,0.06448,464.671,0.064484,1019.947,0.06448,207.465,0.06448,1170.856,0.06448,470.652,0.06448,67.439,0.06448,54.459,0.064484,213.190,0.06448,239.152,0.06448,304.373,0.06448,325.311,0.06448,102.117,0.06448,375.849,0.06448,372.459,0.06448,697.880,0.06448,452.914,0.06448,95.165,0.064484,22.490,0.064484,4.771,0.06448,388.253,0.064484,1742.095,0.06448,431.506,0.06448,38.228,0.06448,70.425,0.06448,1578.932,0.06448,259.762,0.06448,579.029,0.06448,115.994,0.06448,226.814,0.06448,160.853,0.06448,176.486,0.06448,103.778,0.06448,200.124,0.06448,691.450,0.06448,1104.197,0.06448,634.299,0.06448,256.075,0.06448,654.053,0.06448,0.000,0.06448,394.776,0.06448,1678.958,0.06448,47.686,0.06448,44.221,0.06448,449.043,0.06448,4670.840,0.06448,199.254,0.06448,148.983,0.06448,129.107,0.06448,126.563,0.06448,7309.576,0.06448,0.262,0.06448,736.038,0.06448,269.421,0.06448,261.002,0.06448,164.187,0.06448,205.927,0.06448,9.115,0.064484,119.067,0.06448,406.848,0.064484,0.004,0.06448,3316.989,0.064484,869.881,0.06448,216.923,0.064484,9.888,0.06448,10.544
0.09673,285.819,0.09673,11562.754,0.09673,21.353,0.09673,444.266,0.09673,80.167,0.096726,0.000,0.09673,396.465,0.096726,291.562,0.09673,438.883,0.096726,156.320,0.09673,611.966,0.09673,80.430,0.09673,1199.267,0.09673,619.738,0.096726,294.641,0.096726,1523.981,0.096726,392.450,0.09673,2054.444,0.09673,32.683,0.096726,559.210,0.09673,13.594,0.096726,25.005,0.09673,545.235,0.096726,631.650,0.09673,154.748,0.09673,743.355,0.09673,267.557,0.09673,74.960,0.09673,48.710,0.096726,270.482,0.09673,277.206,0.09673,311.229,0.09673,211.317,0.09673,166.894,0.09673,690.805,0.09673,364.937,0.09673,459.676,0.09673,479.096,0.09673,221.351,0.096726,9.457,0.096726,49.231,0.09673,696.286,0.096726,1180.123,0.09673,240.540,0.09673,59.678,0.09673,89.393,0.09673,1185.415,0.09673,195.565,0.09673,760.851,0.09673,193.305,0.09673,318.290,0.09673,167.251,0.09673,337.621,0.09673,94.689,0.09673,228.149,0.09673,549.509,0.09673,946.356,0.09673,372.333,0.09673,491.191,0.09673,269.519,0.09673,0.000,0.09673,254.381,0.09673,2452.160,0.09673,90.095,0.09673,13.895,0.09673,59.641,0.09673,3776.678,0.09673,116.461,0.09673,86.362,0.09673,267.644,0.09673,224.175,0.09673,5712.540,0.09673,24.213,0.09673,631.880,0.09673,267.075,0.09673,124.242,0.09673,106.665,0.09673,374.511,0.09673,0.690,0.096726,250.845,0.09673,548.681,0.096726,0.000,0.09673,1669.970,0.096726,819.233,0.09673,326.029,0.096726,4.105,0.09673,0.404
0.12897,260.962,0.12897,10316.007,0.12897,55.501,0.12897,391.323,0.12897,26.800,0.128968,0.000,0.12897,215.105,0.128968,481.097,0.12897,484.083,0.128968,273.249,0.12897,801.928,0.12897,155.949,0.12897,718.433,0.12897,727.423,0.128968,167.984,0.128968,2038.248,0.128968,265.795,0.12897,1339.189,0.12897,105.533,0.128968,845.484,0.12897,107.459,0.128968,23.978,0.12897,536.619,0.128968,309.905,0.12897,115.132,0.12897,431.678,0.12897,135.704,0.12897,59.160,0.12897,68.380,0.128968,363.983,0.12897,369.213,0.12897,344.071,0.12897,146.922,0.12897,270.148,0.12897,1614.995,0.12897,322.301,0.12897,235.226,0.12897,413.851,0.12897,379.114,0.128968,16.329,0.128968,109.747,0.12897,1162.485,0.128968,626.380,0.12897,147.888,0.12897,78.089,0.12897,87.212,0.12897,765.059,0.12897,176.195,0.12897,795.729,0.12897,243.432,0.12897,394.666,0.12897,168.661,0.12897,530.749,0.12897,68.973,0.12897,182.651,0.12897,424.865,0.12897,919.425,0.12897,187.220,0.12897,794.177,0.12897,165.124,0.12897,4.714,0.12897,148.450,0.12897,2984.000,0.12897,135.864,0.12897,2.291,0.12897,7.581,0.12897,2543.493,0.12897,130.659,0.12897,26.529,0.12897,449.802,0.12897,308.387,0.12897,3686.975,0.12897,100.609,0.12897,428.512,0.12897,207.680,0.12897,194.869,0.12897,7.084,0.12897,495.985,0.12897,6.441,0.128968,324.155,0.12897,635.536,0.128968,0.000,0.12897,642.383,0.128968,796.328,0.12897,459.550,0.128968,8.919,0.12897,0.000
0.16121,231.439,0.16121,8173.942,0.16121,104.514,0.16121,287.215,0.16121,30.300,0.161210,0.024,0.16121,202.947,0.161210,668.171,0.16121,451.109,0.161210,366.730,0.16121,836.621,0.16121,215.302,0.16121,401.367,0.16121,774.888,0.161210,111.180,0.161210,2790.172,0.161210,346.635,0.16121,790.732,0.16121,130.067,0.161210,979.692,0.16121,237.611,0.161210,42.246,0.16121,423.758,0.161210,292.112,0.16121,123.414,0.16121,341.323,0.16121,85.788,0.16121,36.549,0.16121,159.807,0.161210,423.220,0.16121,473.768,0.16121,446.304,0.16121,110.911,0.16121,364.015,0.16121,2988.817,0.16121,698.591,0.16121,114.271,0.16121,289.919,0.16121,506.136,0.161210,70.897,0.161210,144.872,0.16121,2048.107,0.161210,273.780,0.16121,90.967,0.16121,96.862,0.16121,63.397,0.16121,440.127,0.16121,146.091,0.16121,727.381,0.16121,270.831,0.16121,445.300,0.16121,152.738,0.16121,672.340,0.16121,73.538,0.16121,119.635,0.16121,323.299,0.16121,1060.288,0.16121,103.040,0.16121,1056.054,0.16121,143.746,0.16121,52.720,0.16121,74.241,0.16121,3073.874,0.16121,157.588,0.16121,0.129,0.16121,6.415,0.16121,1292.797,0.16121,159.043,0.16121,1.654,0.16121,819.902,0.16121,357.729,0.16121,1680.040,0.16121,131.956,0.16121,263.800,0.16121,122.514,0.16121,249.976,0.16121,0.000,0.16121,522.116,0.16121,54.990,0.161210,332.105,0.16121,606.665,0.161210,0.034,0.16121,600.145,0.161210,788.980,0.16121,593.361,0.161210,35.239,0.16121,14.957
0.19345,268.829,0.19345,5766.525,0.19345,137.219,0.19345,166.326,0.19345,111.533,0.193452,14.347,0.19345,277.466,0.193452,745.050,0.19345,434.243,0.193452,325.489,0.19345,725.606,0.19345,258.909,0.19345,229.200,0.19345,772.655,0.193452,86.644,0.193452,3556.151,0.193452,722.395,0.19345,411.584,0.19345,122.967,0.193452,1008.454,0.19345,310.745,0.193452,51.085,0.19345,271.095,0.193452,511.721,0.19345,148.602,0.19345,386.964,0.19345,103.981,0.19345,24.592,0.19345,307.858,0.193452,422.527,0.19345,607.624,0.19345,618.214,0.19345,118.881,0.19345,372.329,0.19345,4218.146,0.19345,1924.896,0.19345,79.511,0.19345,205.611,0.19345,627.623,0.193452,101.174,0.193452,159.058,0.19345,3470.510,0.193452,185.893,0.19345,48.703,0.19345,116.022,0.19345,32.992,0.19345,247.519,0.19345,107.192,0.19345,643.008,0.19345,304.179,0.19345,481.878,0.19345,141.711,0.19345,780.004,0.19345,107.916,0.19345,80.978,0.19345,251.706,0.19345,1240.755,0.19345,49.017,0.19345,1873.966,0.19345,116.776,0.19345,131.891,0.19345,23.027,0.19345,2732.531,0.19345,172.077,0.19345,6.300,0.19345,2.364,0.19345,426.020,0.19345,305.202,0.19345,7.247,0.19345,1464.836,0.19345,395.944,0.19345,357.595,0.19345,113.436,0.19345,209.958,0.19345,79.901,0.19345,100.503,0.19345,8.749,0.19345,443.530,0.19345,168.095,0.193452,350.040,0.19345,466.128,0.193452,6.137,0.19345,1352.959,0.193452,714.981,0.19345,660.872,0.193452,65.445,0.19345,48.027
0.22569,349.543,0.22569,3710.933,0.22569,154.941,0.22569,81.937,0.22569,225.950,0.225694,70.992,0.22569,369.858,0.225694,696.965,0.22569,464.936,0.225694,230.367,0.22569,589.340,0.22569,253.037,0.22569,165.567,0.22569,779.180,0.225694,107.683,0.225694,3925.545,0.225694,1369.376,0.22569,137.746,0.22569,103.367,0.225694,998.010,0.22569,319.749,0.225694,58.143,0.22569,203.003,0.225694,817.767,0.22569,159.312,0.22569,592.657,0.22569,213.666,0.22569,30.997,0.22569,551.322,0.225694,400.635,0.22569,1024.764,0.22569,807.631,0.22569,159.040,0.22569,295.322,0.22569,4803.766,0.22569,3875.999,0.22569,99.788,0.22569,210.064,0.22569,759.829,0.225694,96.141,0.225694,160.765,0.22569,5039.573,0.225694,291.174,0.22569,51.446,0.22569,135.707,0.22569,4.171,0.22569,121.919,0.22569,128.129,0.22569,554.124,0.22569,336.717,0.22569,489.838,0.22569,169.391,0.22569,980.736,0.22569,138.183,0.22569,63.801,0.22569,191.758,0.22569,1253.312,0.22569,90.129,0.22569,4332.766,0.22569,95.327,0.22569,169.103,0.22569,7.904,0.22569,2223.696,0.22569,236.498,0.22569,31.543,0.22569,0.027,0.22569,61.762,0.22569,730.311,0.22569,36.133,0.22569,2469.346,0.22569,490.369,0.22569,3.014,0.22569,90.039,0.22569,201.703,0.22569,103.453,0.22569,17.347,0.22569,85.923,0.22569,292.662,0.22569,291.169,0.225694,448.242,0.22569,355.330,0.225694,46.824,0.22569,2508.999,0.225694,561.049,0.22569,553.463,0.225694,66.407,0.22569,61.927
0.25794,457.781,0.25794,2260.846,0.25794,233.822,0.25794,164.046,0.25794,282.567,0.257937,101.487,0.25794,486.551,0.257937,605.092,0.25794,514.953,0.257937,123.983,0.25794,476.830,0.25794,188.433,0.25794,156.800,0.25794,962.823,0.257937,232.294,0.257937,3642.211,0.257937,2204.695,0.25794,13.972,0.25794,79.400,0.257937,997.954,0.25794,337.475,0.257937,145.199,0.25794,228.214,0.257937,1163.547,0.25794,244.060,0.25794,1076.405,0.25794,336.528,0.25794,67.878,0.25794,956.676,0.257937,446.620,0.25794,1920.842,0.25794,984.510,0.25794,250.500,0.25794,219.914,0.25794,4766.144,0.25794,5857.834,0.25794,157.093,0.25794,264.770,0.25794,892.835,0.257937,85.104,0.257937,143.789,0.25794,6377.758,0.257937,510.954,0.25794,79.502,0.25794,172.025,0.25794,0.000,0.25794,28.085,0.25794,350.506,0.25794,425.016,0.25794,346.444,0.25794,496.501,0.25794,339.209,0.25794,1435.264,0.25794,148.129,0.25794,109.257,0.25794,138.225,0.25794,1044.701,0.25794,338.610,0.25794,8958.234,0.25794,75.881,0.25794,153.028,0.25794,5.894,0.25794,1818.214,0.25794,341.879,0.25794,69.736,0.25794,0.000,0.25794,11.361,0.25794,1270.346,0.25794,95.514,0.25794,3682.869,0.25794,646.310,0.25794,5.024,0.25794,129.790,0.25794,155.883,0.25794,161.820,0.25794,58.180,0.25794,170.030,0.25794,132.271,0.25794,433.621,0.257937,607.484,0.25794,334.127,0.257937,92.187,0.25794,3358.112,0.257937,474.805,0.25794,300.850,0.257937,61.397,0.25794,28.959
0.29018,538.232,0.29018,1328.052,0.29018,411.360,0.29018,387.704,0.29018,301.700,0.290179,108.591,0.29018,573.163,0.290179,610.106,0.29018,575.363,0.290179,165.807,0.29018,412.012,0.29018,112.698,0.29018,139.400,0.29018,1531.632,0.290179,481.040,0.290179,2689.454,0.290179,2966.308,0.29018,106.837,0.29018,65.633,0.290179,993.997,0.29018,401.166,0.290179,421.692,0.29018,259.799,0.290179,1423.937,0.29018,373.289,0.29018,1737.578,0.29018,344.280,0.29018,180.168,0.29018,1605.021,0.290179,537.093,0.29018,3292.952,0.29018,1147.701,0.29018,346.498,0.29018,188.891,0.29018,4523.598,0.29018,7129.241,0.29018,169.150,0.29018,313.317,0.29018,960.743,0.290179,77.277,0.290179,107.292,0.29018,7185.409,0.290179,669.770,0.29018,85.328,0.29018,222.230,0.29018,0.000,0.29018,4.390,0.29018,1318.322,0.29018,272.513,0.29018,327.029,0.29018,491.265,0.29018,843.547,0.29018,2252.698,0.29018,176.205,0.29018,226.422,0.29018,87.625,0.29018,831.100,0.29018,804.349,0.29018,14862.224,0.29018,85.138,0.29018,123.718,0.29018,7.381,0.29018,1601.849,0.29018,435.010,0.29018,102.015,0.29018,2.254,0.29018,26.934,0.29018,1678.005,0.29018,210.679,0.29018,4761.662,0.29018,881.387,0.29018,8.882,0.29018,276.192,0.29018,88.355,0.29018,191.808,0.29018,173.377,0.29018,199.682,0.29018,29.040,0.29018,514.960,0.290179,742.940,0.29018,378.616,0.290179,112.140,0.29018,3426.180,0.290179,652.738,0.29018,85.786,0.290179,50.839,0.29018,69.518
